vehiculo,bloque_coste,categoria_coste,dimension_coste,partida,unidad,year,valor,valor_eur,unidad_estandarizada
vehículo articulado de carga general,costes unitarios,costes directos,costes por tiempo,amortización del vehículo,eur/vehículo-km,2020,"0,1339",0.1339,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes por tiempo,amortización del vehículo,eur/vehículo-km,2021,"0,1353",0.1353,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes por tiempo,amortización del vehículo,eur/vehículo-km,2022,"0,1396",0.1396,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes por tiempo,amortización del vehículo,eur/vehículo-km,2023,"0,1444",0.1444,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes por tiempo,amortización del vehículo,eur/vehículo-km,2024,"0,1477",0.1477,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes por tiempo,financiación del vehículo,eur/vehículo-km,2017,"0,0226",0.0226,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes por tiempo,financiación del vehículo,eur/vehículo-km,2018,"0,0205",0.0205,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes por tiempo,financiación del vehículo,eur/vehículo-km,2019,"0,0216",0.0216,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes por tiempo,financiación del vehículo,eur/vehículo-km,2020,"0,0203",0.0203,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes por tiempo,financiación del vehículo,eur/vehículo-km,2021,"0,0210",0.021,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes por tiempo,financiación del vehículo,eur/vehículo-km,2022,"0,0258",0.0258,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes por tiempo,financiación del vehículo,eur/vehículo-km,2023,"0,0431",0.0431,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes por tiempo,financiación del vehículo,eur/vehículo-km,2024,"0,0443",0.0443,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes por tiempo,personal de conducción - salarios,eur/vehículo-km,2017,"0,2420",0.242,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes por tiempo,personal de conducción - salarios,eur/vehículo-km,2018,"0,2466",0.2466,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes por tiempo,personal de conducción - salarios,eur/vehículo-km,2019,"0,2504",0.2504,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes por tiempo,personal de conducción - salarios,eur/vehículo-km,2020,"0,2539",0.2539,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes por tiempo,personal de conducción - salarios,eur/vehículo-km,2021,"0,2586",0.2586,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes por tiempo,personal de conducción - salarios,eur/vehículo-km,2022,"0,2623",0.2623,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes por tiempo,personal de conducción - salarios,eur/vehículo-km,2023,"0,2718",0.2718,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes por tiempo,personal de conducción - salarios,eur/vehículo-km,2024,"0,2863",0.2863,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes por tiempo,seguros,eur/vehículo-km,2017,"0,0514",0.0514,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes por tiempo,seguros,eur/vehículo-km,2018,"0,0523",0.0523,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes por tiempo,seguros,eur/vehículo-km,2019,"0,0534",0.0534,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes por tiempo,seguros,eur/vehículo-km,2020,"0,0535",0.0535,eur/vehículo-km
