Año,CCAA,Ámbito,Categoría,Tipo Mercancía,Ton-Km(millones)
2017,Cantabria,Transporte Intrarregional,Intramunicipal,Productos Petrolíferos,0.01
2017,Cantabria,Transporte Intrarregional,Intramunicipal,Minerales Y Residuos Para Refundición,3.53
2017,Cantabria,Transporte Intrarregional,Intramunicipal,Productos Metalúrgicos,1.0
2017,Cantabria,Transporte Intrarregional,Intramunicipal,Minerales En Bruto O Manufacturados Y Materiales De Construcción,2.55
2017,Cantabria,Transporte Intrarregional,Intramunicipal,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",2.47
2017,Cantabria,Transporte Intrarregional,Intermunicipal Intrarregional,Productos Agrícolas Y Animales Vivos,19.34
2017,Cantabria,Transporte Intrarregional,Intermunicipal Intrarregional,Productos Alimenticios Y Forrajes,28.67
2017,Cantabria,Transporte Intrarregional,Intermunicipal Intrarregional,Productos Petrolíferos,16.78
2017,Cantabria,Transporte Intrarregional,Intermunicipal Intrarregional,Minerales Y Residuos Para Refundición,11.42
2017,Cantabria,Transporte Intrarregional,Intermunicipal Intrarregional,Productos Metalúrgicos,16.87
2017,Cantabria,Transporte Intrarregional,Intermunicipal Intrarregional,Minerales En Bruto O Manufacturados Y Materiales De Construcción,116.9
2017,Cantabria,Transporte Intrarregional,Intermunicipal Intrarregional,Abonos,0.23
2017,Cantabria,Transporte Intrarregional,Intermunicipal Intrarregional,Productos Químicos,17.76
2017,Cantabria,Transporte Intrarregional,Intermunicipal Intrarregional,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",32.51
2017,Cantabria,Transporte Interregional,Expedido,Productos Agrícolas Y Animales Vivos,176.01
2017,Cantabria,Transporte Interregional,Expedido,Productos Alimenticios Y Forrajes,529.64
2017,Cantabria,Transporte Interregional,Expedido,Combustibles Minerales Sólidos,5.07
2017,Cantabria,Transporte Interregional,Expedido,Productos Petrolíferos,25.29
2017,Cantabria,Transporte Interregional,Expedido,Minerales Y Residuos Para Refundición,44.73
2017,Cantabria,Transporte Interregional,Expedido,Productos Metalúrgicos,197.31
2017,Cantabria,Transporte Interregional,Expedido,Minerales En Bruto O Manufacturados Y Materiales De Construcción,152.31
2017,Cantabria,Transporte Interregional,Expedido,Abonos,89.75
2017,Cantabria,Transporte Interregional,Expedido,Productos Químicos,241.21
2017,Cantabria,Transporte Interregional,Expedido,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",577.12
2017,Cantabria,Transporte Interregional,Recibido,Productos Agrícolas Y Animales Vivos,117.25
2017,Cantabria,Transporte Interregional,Recibido,Productos Alimenticios Y Forrajes,554.46
2017,Cantabria,Transporte Interregional,Recibido,Combustibles Minerales Sólidos,20.05
2017,Cantabria,Transporte Interregional,Recibido,Productos Petrolíferos,36.88
2017,Cantabria,Transporte Interregional,Recibido,Minerales Y Residuos Para Refundición,114.32
2017,Cantabria,Transporte Interregional,Recibido,Productos Metalúrgicos,108.62
2017,Cantabria,Transporte Interregional,Recibido,Minerales En Bruto O Manufacturados Y Materiales De Construcción,249.56
2017,Cantabria,Transporte Interregional,Recibido,Abonos,8.97
2017,Cantabria,Transporte Interregional,Recibido,Productos Químicos,157.46
2017,Cantabria,Transporte Interregional,Recibido,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",429.75
2017,Cantabria,Transporte Internacional,Expedido,Productos Agrícolas Y Animales Vivos,49.81
2017,Cantabria,Transporte Internacional,Expedido,Productos Alimenticios Y Forrajes,57.6
2017,Cantabria,Transporte Internacional,Expedido,Productos Metalúrgicos,182.57
2017,Cantabria,Transporte Internacional,Expedido,Minerales En Bruto O Manufacturados Y Materiales De Construcción,109.59
2017,Cantabria,Transporte Internacional,Expedido,Productos Químicos,57.75
2017,Cantabria,Transporte Internacional,Expedido,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",164.43
2017,Cantabria,Transporte Internacional,Recibido,Productos Agrícolas Y Animales Vivos,74.05
2017,Cantabria,Transporte Internacional,Recibido,Productos Alimenticios Y Forrajes,14.05
2017,Cantabria,Transporte Internacional,Recibido,Minerales Y Residuos Para Refundición,16.99
2017,Cantabria,Transporte Internacional,Recibido,Minerales En Bruto O Manufacturados Y Materiales De Construcción,44.99
2017,Cantabria,Transporte Internacional,Recibido,Productos Químicos,54.93
2017,Cantabria,Transporte Internacional,Recibido,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",155.4
2017,Castilla - La Mancha,Transporte Intrarregional,Intramunicipal,Productos Agrícolas Y Animales Vivos,9.63
2017,Castilla - La Mancha,Transporte Intrarregional,Intramunicipal,Productos Alimenticios Y Forrajes,10.36
2017,Castilla - La Mancha,Transporte Intrarregional,Intramunicipal,Productos Petrolíferos,2.54
2017,Castilla - La Mancha,Transporte Intrarregional,Intramunicipal,Minerales Y Residuos Para Refundición,0.04
2017,Castilla - La Mancha,Transporte Intrarregional,Intramunicipal,Productos Metalúrgicos,0.49
2017,Castilla - La Mancha,Transporte Intrarregional,Intramunicipal,Minerales En Bruto O Manufacturados Y Materiales De Construcción,24.69
2017,Castilla - La Mancha,Transporte Intrarregional,Intramunicipal,Abonos,3.15
2017,Castilla - La Mancha,Transporte Intrarregional,Intramunicipal,Productos Químicos,0.72
2017,Castilla - La Mancha,Transporte Intrarregional,Intramunicipal,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",3.85
2017,Castilla - La Mancha,Transporte Intrarregional,Intermunicipal Intrarregional,Productos Agrícolas Y Animales Vivos,380.38
2017,Castilla - La Mancha,Transporte Intrarregional,Intermunicipal Intrarregional,Productos Alimenticios Y Forrajes,1049.62
2017,Castilla - La Mancha,Transporte Intrarregional,Intermunicipal Intrarregional,Combustibles Minerales Sólidos,3.86
2017,Castilla - La Mancha,Transporte Intrarregional,Intermunicipal Intrarregional,Productos Petrolíferos,73.79
2017,Castilla - La Mancha,Transporte Intrarregional,Intermunicipal Intrarregional,Minerales Y Residuos Para Refundición,12.94
2017,Castilla - La Mancha,Transporte Intrarregional,Intermunicipal Intrarregional,Productos Metalúrgicos,27.77
2017,Castilla - La Mancha,Transporte Intrarregional,Intermunicipal Intrarregional,Minerales En Bruto O Manufacturados Y Materiales De Construcción,419.26
2017,Castilla - La Mancha,Transporte Intrarregional,Intermunicipal Intrarregional,Abonos,110.32
2017,Castilla - La Mancha,Transporte Intrarregional,Intermunicipal Intrarregional,Productos Químicos,31.83
2017,Castilla - La Mancha,Transporte Intrarregional,Intermunicipal Intrarregional,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",341.36
2017,Castilla - La Mancha,Transporte Interregional,Expedido,Productos Agrícolas Y Animales Vivos,1538.58
2017,Castilla - La Mancha,Transporte Interregional,Expedido,Productos Alimenticios Y Forrajes,3724.69
2017,Castilla - La Mancha,Transporte Interregional,Expedido,Combustibles Minerales Sólidos,118.1
2017,Castilla - La Mancha,Transporte Interregional,Expedido,Productos Petrolíferos,361.6
2017,Castilla - La Mancha,Transporte Interregional,Expedido,Minerales Y Residuos Para Refundición,116.72
2017,Castilla - La Mancha,Transporte Interregional,Expedido,Productos Metalúrgicos,93.07
2017,Castilla - La Mancha,Transporte Interregional,Expedido,Minerales En Bruto O Manufacturados Y Materiales De Construcción,1360.35
2017,Castilla - La Mancha,Transporte Interregional,Expedido,Abonos,269.64
2017,Castilla - La Mancha,Transporte Interregional,Expedido,Productos Químicos,498.04
2017,Castilla - La Mancha,Transporte Interregional,Expedido,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",2416.74
2017,Castilla - La Mancha,Transporte Interregional,Recibido,Productos Agrícolas Y Animales Vivos,1099.64
2017,Castilla - La Mancha,Transporte Interregional,Recibido,Productos Alimenticios Y Forrajes,2698.82
2017,Castilla - La Mancha,Transporte Interregional,Recibido,Combustibles Minerales Sólidos,26.16
2017,Castilla - La Mancha,Transporte Interregional,Recibido,Productos Petrolíferos,235.07
2017,Castilla - La Mancha,Transporte Interregional,Recibido,Minerales Y Residuos Para Refundición,40.6
2017,Castilla - La Mancha,Transporte Interregional,Recibido,Productos Metalúrgicos,384.51
2017,Castilla - La Mancha,Transporte Interregional,Recibido,Minerales En Bruto O Manufacturados Y Materiales De Construcción,816.94
2017,Castilla - La Mancha,Transporte Interregional,Recibido,Abonos,355.23
2017,Castilla - La Mancha,Transporte Interregional,Recibido,Productos Químicos,565.12
2017,Castilla - La Mancha,Transporte Interregional,Recibido,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",2356.46
2017,Castilla - La Mancha,Transporte Internacional,Expedido,Productos Agrícolas Y Animales Vivos,171.58
2017,Castilla - La Mancha,Transporte Internacional,Expedido,Productos Alimenticios Y Forrajes,661.13
2017,Castilla - La Mancha,Transporte Internacional,Expedido,Productos Petrolíferos,57.71
2017,Castilla - La Mancha,Transporte Internacional,Expedido,Productos Metalúrgicos,141.82
2017,Castilla - La Mancha,Transporte Internacional,Expedido,Minerales En Bruto O Manufacturados Y Materiales De Construcción,12.05
2017,Castilla - La Mancha,Transporte Internacional,Expedido,Abonos,60.55
2017,Castilla - La Mancha,Transporte Internacional,Expedido,Productos Químicos,37.37
2017,Castilla - La Mancha,Transporte Internacional,Expedido,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",373.12
2017,Castilla - La Mancha,Transporte Internacional,Recibido,Productos Agrícolas Y Animales Vivos,155.44
2017,Castilla - La Mancha,Transporte Internacional,Recibido,Productos Alimenticios Y Forrajes,339.19
2017,Castilla - La Mancha,Transporte Internacional,Recibido,Productos Metalúrgicos,27.86
2017,Castilla - La Mancha,Transporte Internacional,Recibido,Abonos,21.39
2017,Castilla - La Mancha,Transporte Internacional,Recibido,Productos Químicos,175.27
2017,Castilla - La Mancha,Transporte Internacional,Recibido,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",825.89
2017,Castilla y León,Transporte Intrarregional,Intramunicipal,Productos Agrícolas Y Animales Vivos,5.74
2017,Castilla y León,Transporte Intrarregional,Intramunicipal,Productos Alimenticios Y Forrajes,15.24
2017,Castilla y León,Transporte Intrarregional,Intramunicipal,Combustibles Minerales Sólidos,0.71
2017,Castilla y León,Transporte Intrarregional,Intramunicipal,Productos Petrolíferos,3.47
2017,Castilla y León,Transporte Intrarregional,Intramunicipal,Minerales Y Residuos Para Refundición,0.27
2017,Castilla y León,Transporte Intrarregional,Intramunicipal,Productos Metalúrgicos,3.07
2017,Castilla y León,Transporte Intrarregional,Intramunicipal,Minerales En Bruto O Manufacturados Y Materiales De Construcción,48.79
2017,Castilla y León,Transporte Intrarregional,Intramunicipal,Abonos,0.87
2017,Castilla y León,Transporte Intrarregional,Intramunicipal,Productos Químicos,1.17
2017,Castilla y León,Transporte Intrarregional,Intramunicipal,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",36.81
2017,Castilla y León,Transporte Intrarregional,Intermunicipal Intrarregional,Productos Agrícolas Y Animales Vivos,945.3
2017,Castilla y León,Transporte Intrarregional,Intermunicipal Intrarregional,Productos Alimenticios Y Forrajes,1071.31
2017,Castilla y León,Transporte Intrarregional,Intermunicipal Intrarregional,Combustibles Minerales Sólidos,11.83
2017,Castilla y León,Transporte Intrarregional,Intermunicipal Intrarregional,Productos Petrolíferos,149.64
2017,Castilla y León,Transporte Intrarregional,Intermunicipal Intrarregional,Minerales Y Residuos Para Refundición,19.5
2017,Castilla y León,Transporte Intrarregional,Intermunicipal Intrarregional,Productos Metalúrgicos,56.57
2017,Castilla y León,Transporte Intrarregional,Intermunicipal Intrarregional,Minerales En Bruto O Manufacturados Y Materiales De Construcción,925.79
2017,Castilla y León,Transporte Intrarregional,Intermunicipal Intrarregional,Abonos,79.66
2017,Castilla y León,Transporte Intrarregional,Intermunicipal Intrarregional,Productos Químicos,43.61
