year,ccaa,tipo,subtipo,mercancia,ton-km
2017,"asturias, principado de",transporte intrarregional,intramunicipal,combustibles minerales sólidos,5890000.0
2017,"asturias, principado de",transporte intrarregional,intramunicipal,productos petrolíferos,1210000.0
2017,"asturias, principado de",transporte intrarregional,intramunicipal,minerales y residuos para refundición,14100000.0
2017,"asturias, principado de",transporte intrarregional,intramunicipal,productos metalúrgicos,4940000.0
2017,"asturias, principado de",transporte intrarregional,intramunicipal,minerales en bruto o manufacturados y materiales de construcción,55230000.0
2017,"asturias, principado de",transporte intrarregional,intramunicipal,abonos,120000.0
2017,"asturias, principado de",transporte intrarregional,intramunicipal,productos químicos,570000.0
2017,"asturias, principado de",transporte intrarregional,intramunicipal,"máquinas, vehículos, objetos manufacturados y transacciones especiales",3810000.0
2017,"asturias, principado de",transporte intrarregional,intermunicipal intrarregional,productos agrícolas y animales vivos,92280000.0
2017,"asturias, principado de",transporte intrarregional,intermunicipal intrarregional,productos alimenticios y forrajes,98110000.0
2017,"asturias, principado de",transporte intrarregional,intermunicipal intrarregional,combustibles minerales sólidos,74570000.0
2017,"asturias, principado de",transporte intrarregional,intermunicipal intrarregional,productos petrolíferos,47560000.0
2017,"asturias, principado de",transporte intrarregional,intermunicipal intrarregional,minerales y residuos para refundición,42420000.0
2017,"asturias, principado de",transporte intrarregional,intermunicipal intrarregional,productos metalúrgicos,32000000.0
2017,"asturias, principado de",transporte intrarregional,intermunicipal intrarregional,minerales en bruto o manufacturados y materiales de construcción,192260000.0
2017,"asturias, principado de",transporte intrarregional,intermunicipal intrarregional,abonos,6040000.0
2017,"asturias, principado de",transporte intrarregional,intermunicipal intrarregional,productos químicos,24330000.0
2017,"asturias, principado de",transporte intrarregional,intermunicipal intrarregional,"máquinas, vehículos, objetos manufacturados y transacciones especiales",56540000.0
2017,"asturias, principado de",transporte interregional,expedido,productos agrícolas y animales vivos,271400000.0
2017,"asturias, principado de",transporte interregional,expedido,productos alimenticios y forrajes,632080000.0
2017,"asturias, principado de",transporte interregional,expedido,combustibles minerales sólidos,264210000.0
2017,"asturias, principado de",transporte interregional,expedido,productos petrolíferos,53200000.0
2017,"asturias, principado de",transporte interregional,expedido,minerales y residuos para refundición,78180000.0
2017,"asturias, principado de",transporte interregional,expedido,productos metalúrgicos,601410000.0
2017,"asturias, principado de",transporte interregional,expedido,minerales en bruto o manufacturados y materiales de construcción,107740000.0
2017,"asturias, principado de",transporte interregional,expedido,abonos,134760000.0
2017,"asturias, principado de",transporte interregional,expedido,productos químicos,322750000.0
2017,"asturias, principado de",transporte interregional,expedido,"máquinas, vehículos, objetos manufacturados y transacciones especiales",418630000.0
2017,"asturias, principado de",transporte interregional,recibido,productos agrícolas y animales vivos,333190000.0
2017,"asturias, principado de",transporte interregional,recibido,productos alimenticios y forrajes,648120000.0
2017,"asturias, principado de",transporte interregional,recibido,combustibles minerales sólidos,57230000.0
2017,"asturias, principado de",transporte interregional,recibido,productos petrolíferos,87750000.0
2017,"asturias, principado de",transporte interregional,recibido,minerales y residuos para refundición,79170000.0
2017,"asturias, principado de",transporte interregional,recibido,productos metalúrgicos,216390000.0
2017,"asturias, principado de",transporte interregional,recibido,minerales en bruto o manufacturados y materiales de construcción,307330000.0
2017,"asturias, principado de",transporte interregional,recibido,abonos,8000000.0
2017,"asturias, principado de",transporte interregional,recibido,productos químicos,148460000.0
2017,"asturias, principado de",transporte interregional,recibido,"máquinas, vehículos, objetos manufacturados y transacciones especiales",603880000.0
2017,"asturias, principado de",transporte internacional,expedido,productos alimenticios y forrajes,42290000.0
2017,"asturias, principado de",transporte internacional,expedido,combustibles minerales sólidos,55680000.0
2017,"asturias, principado de",transporte internacional,expedido,productos metalúrgicos,259170000.0
2017,"asturias, principado de",transporte internacional,expedido,minerales en bruto o manufacturados y materiales de construcción,6100000.0
2017,"asturias, principado de",transporte internacional,expedido,abonos,7910000.0
2017,"asturias, principado de",transporte internacional,expedido,productos químicos,68230000.0
2017,"asturias, principado de",transporte internacional,expedido,"máquinas, vehículos, objetos manufacturados y transacciones especiales",99170000.0
2017,"asturias, principado de",transporte internacional,recibido,productos agrícolas y animales vivos,60100000.0
2017,"asturias, principado de",transporte internacional,recibido,productos alimenticios y forrajes,140170000.0
2017,"asturias, principado de",transporte internacional,recibido,productos metalúrgicos,55060000.0
2017,"asturias, principado de",transporte internacional,recibido,minerales en bruto o manufacturados y materiales de construcción,20490000.0
2017,"asturias, principado de",transporte internacional,recibido,productos químicos,94030000.0
2017,"asturias, principado de",transporte internacional,recibido,"máquinas, vehículos, objetos manufacturados y transacciones especiales",50060000.0
2017,cantabria,transporte intrarregional,intramunicipal,productos alimenticios y forrajes,1070000.0
2017,cantabria,transporte intrarregional,intramunicipal,productos petrolíferos,10000.0
2017,cantabria,transporte intrarregional,intramunicipal,minerales y residuos para refundición,3530000.0
2017,cantabria,transporte intrarregional,intramunicipal,productos metalúrgicos,1000000.0
2017,cantabria,transporte intrarregional,intramunicipal,minerales en bruto o manufacturados y materiales de construcción,2550000.0
2017,cantabria,transporte intrarregional,intramunicipal,"máquinas, vehículos, objetos manufacturados y transacciones especiales",2470000.0
2017,cantabria,transporte intrarregional,intermunicipal intrarregional,productos agrícolas y animales vivos,19340000.0
2017,cantabria,transporte intrarregional,intermunicipal intrarregional,productos alimenticios y forrajes,28670000.0
2017,cantabria,transporte intrarregional,intermunicipal intrarregional,productos petrolíferos,16780000.0
2017,cantabria,transporte intrarregional,intermunicipal intrarregional,minerales y residuos para refundición,11420000.0
2017,cantabria,transporte intrarregional,intermunicipal intrarregional,productos metalúrgicos,16870000.0
2017,cantabria,transporte intrarregional,intermunicipal intrarregional,minerales en bruto o manufacturados y materiales de construcción,116900000.0
2017,cantabria,transporte intrarregional,intermunicipal intrarregional,abonos,230000.0
2017,cantabria,transporte intrarregional,intermunicipal intrarregional,productos químicos,17760000.0
2017,cantabria,transporte intrarregional,intermunicipal intrarregional,"máquinas, vehículos, objetos manufacturados y transacciones especiales",32510000.0
2017,cantabria,transporte interregional,expedido,productos agrícolas y animales vivos,176010000.0
2017,cantabria,transporte interregional,expedido,productos alimenticios y forrajes,529640000.0
2017,cantabria,transporte interregional,expedido,combustibles minerales sólidos,5070000.0
2017,cantabria,transporte interregional,expedido,productos petrolíferos,25290000.0
2017,cantabria,transporte interregional,expedido,minerales y residuos para refundición,44730000.0
2017,cantabria,transporte interregional,expedido,productos metalúrgicos,197310000.0
2017,cantabria,transporte interregional,expedido,minerales en bruto o manufacturados y materiales de construcción,152310000.0
2017,cantabria,transporte interregional,expedido,abonos,89750000.0
2017,cantabria,transporte interregional,expedido,productos químicos,241210000.0
2017,cantabria,transporte interregional,expedido,"máquinas, vehículos, objetos manufacturados y transacciones especiales",577120000.0
2017,cantabria,transporte interregional,recibido,productos agrícolas y animales vivos,117250000.0
2017,cantabria,transporte interregional,recibido,productos alimenticios y forrajes,554460000.0
2017,cantabria,transporte interregional,recibido,combustibles minerales sólidos,20050000.0
2017,cantabria,transporte interregional,recibido,productos petrolíferos,36880000.0
2017,cantabria,transporte interregional,recibido,minerales y residuos para refundición,114320000.0
2017,cantabria,transporte interregional,recibido,productos metalúrgicos,108620000.0
2017,cantabria,transporte interregional,recibido,minerales en bruto o manufacturados y materiales de construcción,249560000.0
2017,cantabria,transporte interregional,recibido,abonos,8970000.0
2017,cantabria,transporte interregional,recibido,productos químicos,157460000.0
2017,cantabria,transporte interregional,recibido,"máquinas, vehículos, objetos manufacturados y transacciones especiales",429750000.0
2017,cantabria,transporte internacional,expedido,productos agrícolas y animales vivos,49810000.0
2017,cantabria,transporte internacional,expedido,productos alimenticios y forrajes,57600000.0
2017,cantabria,transporte internacional,expedido,productos metalúrgicos,182570000.0
2017,cantabria,transporte internacional,expedido,minerales en bruto o manufacturados y materiales de construcción,109590000.0
2017,cantabria,transporte internacional,expedido,productos químicos,57750000.0
2017,cantabria,transporte internacional,expedido,"máquinas, vehículos, objetos manufacturados y transacciones especiales",164430000.0
2017,cantabria,transporte internacional,recibido,productos agrícolas y animales vivos,74050000.0
2017,cantabria,transporte internacional,recibido,productos alimenticios y forrajes,14050000.0
