year,comunidad,tipo_transporte,tipo_desplazamiento,tipo_mercancia,unidad,valor
2017,aragón,transporte interregional,expedido,productos alimenticios y forrajes,millones de toneladas-kilómetro,1650.15
2017,aragón,transporte interregional,expedido,productos petrolíferos,millones de toneladas-kilómetro,45.83
2017,aragón,transporte interregional,expedido,minerales y residuos para refundición,millones de toneladas-kilómetro,107.37
2017,aragón,transporte interregional,expedido,productos metalúrgicos,millones de toneladas-kilómetro,322.1
2017,aragón,transporte interregional,expedido,minerales en bruto o manufacturados y materiales de construcción,millones de toneladas-kilómetro,1022.26
2017,aragón,transporte interregional,expedido,abonos,millones de toneladas-kilómetro,177.83
2017,aragón,transporte interregional,expedido,productos químicos,millones de toneladas-kilómetro,382.89
2017,aragón,transporte interregional,expedido,"máquinas, vehículos, objetos manufacturados y transacciones especiales",millones de toneladas-kilómetro,2529.64
2017,aragón,transporte interregional,recibido,productos agrícolas y animales vivos,millones de toneladas-kilómetro,1000.0
2017,aragón,transporte interregional,recibido,productos alimenticios y forrajes,millones de toneladas-kilómetro,1434.61
2017,aragón,transporte interregional,recibido,combustibles minerales sólidos,millones de toneladas-kilómetro,59.53
2017,aragón,transporte interregional,recibido,productos petrolíferos,millones de toneladas-kilómetro,147.12
2017,aragón,transporte interregional,recibido,minerales y residuos para refundición,millones de toneladas-kilómetro,216.61
2017,aragón,transporte interregional,recibido,productos metalúrgicos,millones de toneladas-kilómetro,300.84
2017,aragón,transporte interregional,recibido,minerales en bruto o manufacturados y materiales de construcción,millones de toneladas-kilómetro,469.12
2017,aragón,transporte interregional,recibido,abonos,millones de toneladas-kilómetro,201.69
2017,aragón,transporte interregional,recibido,productos químicos,millones de toneladas-kilómetro,981.01
2017,aragón,transporte interregional,recibido,"máquinas, vehículos, objetos manufacturados y transacciones especiales",millones de toneladas-kilómetro,1943.37
2017,aragón,transporte internacional,expedido,productos agrícolas y animales vivos,millones de toneladas-kilómetro,201.8
2017,aragón,transporte internacional,expedido,productos alimenticios y forrajes,millones de toneladas-kilómetro,292.17
2017,aragón,transporte internacional,expedido,combustibles minerales sólidos,millones de toneladas-kilómetro,9.67
2017,aragón,transporte internacional,expedido,minerales y residuos para refundición,millones de toneladas-kilómetro,20.38
2017,aragón,transporte internacional,expedido,productos metalúrgicos,millones de toneladas-kilómetro,121.03
2017,aragón,transporte internacional,expedido,minerales en bruto o manufacturados y materiales de construcción,millones de toneladas-kilómetro,165.63
2017,aragón,transporte internacional,expedido,abonos,millones de toneladas-kilómetro,29.57
2017,aragón,transporte internacional,expedido,productos químicos,millones de toneladas-kilómetro,320.74
2017,aragón,transporte internacional,expedido,"máquinas, vehículos, objetos manufacturados y transacciones especiales",millones de toneladas-kilómetro,1014.29
2017,aragón,transporte internacional,recibido,productos agrícolas y animales vivos,millones de toneladas-kilómetro,312.56
2017,aragón,transporte internacional,recibido,productos alimenticios y forrajes,millones de toneladas-kilómetro,158.76
2017,aragón,transporte internacional,recibido,minerales y residuos para refundición,millones de toneladas-kilómetro,92.19
2017,aragón,transporte internacional,recibido,productos metalúrgicos,millones de toneladas-kilómetro,42.1
2017,aragón,transporte internacional,recibido,minerales en bruto o manufacturados y materiales de construcción,millones de toneladas-kilómetro,1.93
2017,aragón,transporte internacional,recibido,productos químicos,millones de toneladas-kilómetro,455.48
2017,aragón,transporte internacional,recibido,"máquinas, vehículos, objetos manufacturados y transacciones especiales",millones de toneladas-kilómetro,891.8
