Año,CCAA,Ámbito,Categoría,Tipo Mercancía,Ton-Km(millones),Toneladas(miles)
2017,"Asturias, Principado de",Intrarregional,Intramunicipal,Minerales En Bruto O Manufacturados Y Materiales De Construcción,55.23,3615.49
2017,"Asturias, Principado de",Intrarregional,Intramunicipal,Abonos,0.12,15.37
2017,"Asturias, Principado de",Intrarregional,Intramunicipal,Productos Químicos,0.57,53.54
2017,"Asturias, Principado de",Intrarregional,Intramunicipal,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",3.81,476.91
2017,"Asturias, Principado de",Intrarregional,Intermunicipal,Productos Agrícolas Y Animales Vivos,92.28,2241.78
2017,"Asturias, Principado de",Intrarregional,Intermunicipal,Productos Alimenticios Y Forrajes,98.11,1804.73
2017,"Asturias, Principado de",Intrarregional,Intermunicipal,Combustibles Minerales Sólidos,74.57,2604.87
2017,"Asturias, Principado de",Intrarregional,Intermunicipal,Productos Petrolíferos,47.56,1161.83
2017,"Asturias, Principado de",Intrarregional,Intermunicipal,Minerales Y Residuos Para Refundición,42.42,924.11
2017,"Asturias, Principado de",Intrarregional,Intermunicipal,Productos Metalúrgicos,32.0,1132.19
2017,"Asturias, Principado de",Intrarregional,Intermunicipal,Minerales En Bruto O Manufacturados Y Materiales De Construcción,192.26,6300.81
2017,"Asturias, Principado de",Intrarregional,Intermunicipal,Abonos,6.04,192.23
2017,"Asturias, Principado de",Intrarregional,Intermunicipal,Productos Químicos,24.33,429.71
2017,"Asturias, Principado de",Intrarregional,Intermunicipal,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",56.54,1415.41
2017,"Asturias, Principado de",Interregional,Expedido,Productos Agrícolas Y Animales Vivos,271.4,937.52
2017,"Asturias, Principado de",Interregional,Expedido,Productos Alimenticios Y Forrajes,632.08,1299.36
2017,"Asturias, Principado de",Interregional,Expedido,Combustibles Minerales Sólidos,264.21,1180.08
2017,"Asturias, Principado de",Interregional,Expedido,Productos Petrolíferos,53.2,188.81
2017,"Asturias, Principado de",Interregional,Expedido,Minerales Y Residuos Para Refundición,78.18,340.21
2017,"Asturias, Principado de",Interregional,Expedido,Productos Metalúrgicos,601.41,1197.62
2017,"Asturias, Principado de",Interregional,Expedido,Minerales En Bruto O Manufacturados Y Materiales De Construcción,107.74,409.36
2017,"Asturias, Principado de",Interregional,Expedido,Abonos,134.76,431.97
2017,"Asturias, Principado de",Interregional,Expedido,Productos Químicos,322.75,1065.53
2017,"Asturias, Principado de",Interregional,Expedido,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",418.63,924.94
2017,"Asturias, Principado de",Interregional,Recibido,Productos Agrícolas Y Animales Vivos,333.19,1637.23
2017,"Asturias, Principado de",Interregional,Recibido,Productos Alimenticios Y Forrajes,648.12,1988.97
2017,"Asturias, Principado de",Interregional,Recibido,Combustibles Minerales Sólidos,57.23,372.71
2017,"Asturias, Principado de",Interregional,Recibido,Productos Petrolíferos,87.75,394.61
2017,"Asturias, Principado de",Interregional,Recibido,Minerales Y Residuos Para Refundición,79.17,281.89
