Año,Vehículo,Categoría Costes,Subcategoría Costes,Tipo Costes,Costes Unitarios,Costes Anuales
2020,Frigorífico De 2 Ejes,Costes Directos,Por Km Recorridos(Vehículo-Km),Dietas,0.0903,6323.71
2021,Frigorífico De 2 Ejes,Costes Directos,Por Km Recorridos(Vehículo-Km),Dietas,0.092,6441.95
2022,Frigorífico De 2 Ejes,Costes Directos,Por Km Recorridos(Vehículo-Km),Dietas,0.0934,6534.69
2023,Frigorífico De 2 Ejes,Costes Directos,Por Km Recorridos(Vehículo-Km),Dietas,0.0967,6770.43
2024,Frigorífico De 2 Ejes,Costes Directos,Por Km Recorridos(Vehículo-Km),Dietas,0.1019,7130.32
2017,Frigorífico De 2 Ejes,Costes Directos,Por Km Recorridos(Vehículo-Km),Peajes,0.0135,944.25
2018,Frigorífico De 2 Ejes,Costes Directos,Por Km Recorridos(Vehículo-Km),Peajes,0.0137,961.03
2019,Frigorífico De 2 Ejes,Costes Directos,Por Km Recorridos(Vehículo-Km),Peajes,0.014,977.76
2020,Frigorífico De 2 Ejes,Costes Directos,Por Km Recorridos(Vehículo-Km),Peajes,0.014,976.53
2021,Frigorífico De 2 Ejes,Costes Directos,Por Km Recorridos(Vehículo-Km),Peajes,0.0141,983.77
2022,Frigorífico De 2 Ejes,Costes Directos,Por Km Recorridos(Vehículo-Km),Peajes,0.0149,1041.75
2023,Frigorífico De 2 Ejes,Costes Directos,Por Km Recorridos(Vehículo-Km),Peajes,0.0158,1107.37
2024,Frigorífico De 2 Ejes,Costes Directos,Por Km Recorridos(Vehículo-Km),Peajes,0.0163,1141.3
2017,Frigorífico De 2 Ejes,Costes Indirectos,Indirectos(Vehículo-Km),Indirectos,0.0701,4906.77
2018,Frigorífico De 2 Ejes,Costes Indirectos,Indirectos(Vehículo-Km),Indirectos,0.0728,5096.16
2019,Frigorífico De 2 Ejes,Costes Indirectos,Indirectos(Vehículo-Km),Indirectos,0.0734,5136.44
2020,Frigorífico De 2 Ejes,Costes Indirectos,Indirectos(Vehículo-Km),Indirectos,0.0716,5015.04
2021,Frigorífico De 2 Ejes,Costes Indirectos,Indirectos(Vehículo-Km),Indirectos,0.075,5252.54
2022,Frigorífico De 2 Ejes,Costes Indirectos,Indirectos(Vehículo-Km),Indirectos,0.0865,6056.3
2023,Frigorífico De 2 Ejes,Costes Indirectos,Indirectos(Vehículo-Km),Indirectos,0.086,6023.06
2024,Frigorífico De 2 Ejes,Costes Indirectos,Indirectos(Vehículo-Km),Indirectos,0.0872,6107.47
2017,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Tiempo(Vehiculo-Km),Amortización Vehículo,0.1923,20187.61
2018,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Tiempo(Vehiculo-Km),Amortización Vehículo,0.1944,20412.01
2019,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Tiempo(Vehiculo-Km),Amortización Vehículo,0.1961,20593.72
2020,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Tiempo(Vehiculo-Km),Amortización Vehículo,0.1978,20774.06
2021,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Tiempo(Vehiculo-Km),Amortización Vehículo,0.1998,20983.62
2022,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Tiempo(Vehiculo-Km),Amortización Vehículo,0.2063,21664.54
2023,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Tiempo(Vehiculo-Km),Amortización Vehículo,0.2136,22432.89
2024,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Tiempo(Vehiculo-Km),Amortización Vehículo,0.2186,22952.16
2017,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Tiempo(Vehiculo-Km),Financiación Vehículo,0.0333,3493.15
2018,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Tiempo(Vehiculo-Km),Financiación Vehículo,0.0303,3176.87
2019,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Tiempo(Vehiculo-Km),Financiación Vehículo,0.0318,3335.84
2020,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Tiempo(Vehiculo-Km),Financiación Vehículo,0.0299,3139.84
2021,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Tiempo(Vehiculo-Km),Financiación Vehículo,0.031,3249.98
2022,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Tiempo(Vehiculo-Km),Financiación Vehículo,0.038,3989.63
2023,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Tiempo(Vehiculo-Km),Financiación Vehículo,0.0635,6663.78
2024,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Tiempo(Vehiculo-Km),Financiación Vehículo,0.0652,6846.33
2017,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Tiempo(Vehiculo-Km),Salarios,0.3042,31937.81
2018,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Tiempo(Vehiculo-Km),Salarios,0.31,32552.25
2019,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Tiempo(Vehiculo-Km),Salarios,0.3148,33056.2
2020,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Tiempo(Vehiculo-Km),Salarios,0.3192,33511.47
2021,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Tiempo(Vehiculo-Km),Salarios,0.3251,34138.02
2022,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Tiempo(Vehiculo-Km),Salarios,0.3298,34629.13
2023,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Tiempo(Vehiculo-Km),Salarios,0.3417,35876.86
2024,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Tiempo(Vehiculo-Km),Salarios,0.3599,37786.22
2017,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Tiempo(Vehiculo-Km),Seguros,0.0687,7218.31
2018,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Tiempo(Vehiculo-Km),Seguros,0.0699,7335.7
2019,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Tiempo(Vehiculo-Km),Seguros,0.0714,7499.14
2020,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Tiempo(Vehiculo-Km),Seguros,0.0716,7513.19
2021,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Tiempo(Vehiculo-Km),Seguros,0.0722,7577.86
2022,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Tiempo(Vehiculo-Km),Seguros,0.0729,7650.63
2023,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Tiempo(Vehiculo-Km),Seguros,0.0752,7899.27
2024,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Tiempo(Vehiculo-Km),Seguros,0.0815,8555.32
2017,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Tiempo(Vehiculo-Km),Costes Fiscales,0.0082,860.3
2018,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Tiempo(Vehiculo-Km),Costes Fiscales,0.0083,875.58
2019,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Tiempo(Vehiculo-Km),Costes Fiscales,0.0085,890.83
2020,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Tiempo(Vehiculo-Km),Costes Fiscales,0.0085,889.71
2021,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Tiempo(Vehiculo-Km),Costes Fiscales,0.0085,896.29
2022,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Tiempo(Vehiculo-Km),Costes Fiscales,0.009,949.13
2023,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Tiempo(Vehiculo-Km),Costes Fiscales,0.0096,1008.92
2024,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Tiempo(Vehiculo-Km),Costes Fiscales,0.0099,1039.82
2017,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Km Recorridos(Vehículo-Km),Combustible,0.2853,29959.75
2018,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Km Recorridos(Vehículo-Km),Combustible,0.3155,33125.07
2019,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Km Recorridos(Vehículo-Km),Combustible,0.3108,32633.49
2020,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Km Recorridos(Vehículo-Km),Combustible,0.2763,29014.73
2021,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Km Recorridos(Vehículo-Km),Combustible,0.3157,33145.43
2022,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Km Recorridos(Vehículo-Km),Combustible,0.4728,49642.02
2023,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Km Recorridos(Vehículo-Km),Combustible,0.4148,43548.89
2024,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Km Recorridos(Vehículo-Km),Combustible,0.3859,40524.4
2017,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Km Recorridos(Vehículo-Km),Disolución De Urea,0.0135,1413.39
2018,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Km Recorridos(Vehículo-Km),Disolución De Urea,0.0137,1439.52
2019,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Km Recorridos(Vehículo-Km),Disolución De Urea,0.0139,1462.9
2020,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Km Recorridos(Vehículo-Km),Disolución De Urea,0.0142,1486.33
2021,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Km Recorridos(Vehículo-Km),Disolución De Urea,0.0145,1519.03
2022,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Km Recorridos(Vehículo-Km),Disolución De Urea,0.015,1577.4
2023,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Km Recorridos(Vehículo-Km),Disolución De Urea,0.016,1677.12
2024,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Km Recorridos(Vehículo-Km),Disolución De Urea,0.0167,1749.15
2017,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Km Recorridos(Vehículo-Km),Neumáticos,0.045,4721.7
2018,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Km Recorridos(Vehículo-Km),Neumáticos,0.0451,4739.43
2019,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Km Recorridos(Vehículo-Km),Neumáticos,0.0449,4714.65
2020,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Km Recorridos(Vehículo-Km),Neumáticos,0.0455,4779.71
2021,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Km Recorridos(Vehículo-Km),Neumáticos,0.0464,4871.94
2022,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Km Recorridos(Vehículo-Km),Neumáticos,0.0506,5310.82
2023,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Km Recorridos(Vehículo-Km),Neumáticos,0.0556,5843.0
2024,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Km Recorridos(Vehículo-Km),Neumáticos,0.0572,6003.99
2017,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Km Recorridos(Vehículo-Km),Mantenimiento,0.0481,5049.61
2018,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Km Recorridos(Vehículo-Km),Mantenimiento,0.049,5142.93
2019,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Km Recorridos(Vehículo-Km),Mantenimiento,0.0498,5226.51
2020,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Km Recorridos(Vehículo-Km),Mantenimiento,0.0506,5310.17
2021,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Km Recorridos(Vehículo-Km),Mantenimiento,0.0517,5427.01
2022,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Km Recorridos(Vehículo-Km),Mantenimiento,0.0537,5635.57
2023,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Km Recorridos(Vehículo-Km),Mantenimiento,0.0571,5991.83
2024,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Km Recorridos(Vehículo-Km),Mantenimiento,0.0595,6249.16
2017,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Km Recorridos(Vehículo-Km),Reparaciones,0.0369,3879.57
2018,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Km Recorridos(Vehículo-Km),Reparaciones,0.0376,3951.26
2019,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Km Recorridos(Vehículo-Km),Reparaciones,0.0382,4015.44
2020,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Km Recorridos(Vehículo-Km),Reparaciones,0.0389,4079.75
2021,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Km Recorridos(Vehículo-Km),Reparaciones,0.0397,4169.53
2022,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Km Recorridos(Vehículo-Km),Reparaciones,0.0412,4329.76
2023,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Km Recorridos(Vehículo-Km),Reparaciones,0.0438,4603.44
2024,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Km Recorridos(Vehículo-Km),Reparaciones,0.0457,4801.16
2017,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Km Recorridos(Vehículo-Km),Dietas,0.1398,14679.44
2018,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Km Recorridos(Vehículo-Km),Dietas,0.1425,14961.81
2019,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Km Recorridos(Vehículo-Km),Dietas,0.1447,15193.09
2020,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Km Recorridos(Vehículo-Km),Dietas,0.1467,15403.21
2021,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Km Recorridos(Vehículo-Km),Dietas,0.1494,15691.18
2022,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Km Recorridos(Vehículo-Km),Dietas,0.1516,15916.15
2023,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Km Recorridos(Vehículo-Km),Dietas,0.157,16489.65
2024,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Km Recorridos(Vehículo-Km),Dietas,0.1654,17367.21
2017,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Km Recorridos(Vehículo-Km),Peajes,0.0787,8262.15
2018,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Km Recorridos(Vehículo-Km),Peajes,0.0801,8408.98
2019,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Km Recorridos(Vehículo-Km),Peajes,0.0815,8555.34
2020,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Km Recorridos(Vehículo-Km),Peajes,0.0814,8544.64
2021,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Km Recorridos(Vehículo-Km),Peajes,0.082,8607.92
2022,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Km Recorridos(Vehículo-Km),Peajes,0.0868,9115.27
2023,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Km Recorridos(Vehículo-Km),Peajes,0.0923,9689.44
2024,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Directos,Por Km Recorridos(Vehículo-Km),Peajes,0.0951,9986.32
2017,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Indirectos,Indirectos(Vehículo-Km),Indirectos,0.0815,8558.08
2018,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Indirectos,Indirectos(Vehículo-Km),Indirectos,0.0843,8847.89
2019,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Indirectos,Indirectos(Vehículo-Km),Indirectos,0.0849,8916.51
2020,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Indirectos,Indirectos(Vehículo-Km),Indirectos,0.0832,8739.04
2021,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Indirectos,Indirectos(Vehículo-Km),Indirectos,0.0868,9118.06
2022,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Indirectos,Indirectos(Vehículo-Km),Indirectos,0.0993,10426.65
2023,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Indirectos,Indirectos(Vehículo-Km),Indirectos,0.1001,10512.13
2024,Cisterna Articulado De Mercancías Peligrosas (Químicos),Costes Indirectos,Indirectos(Vehículo-Km),Indirectos,0.1014,10650.98
2017,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Tiempo(Vehiculo-Km),Amortización Vehículo,0.1909,19089.18
2018,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Tiempo(Vehiculo-Km),Amortización Vehículo,0.193,19301.16
2019,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Tiempo(Vehiculo-Km),Amortización Vehículo,0.1947,19472.56
2020,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Tiempo(Vehiculo-Km),Amortización Vehículo,0.1964,19643.23
2021,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Tiempo(Vehiculo-Km),Amortización Vehículo,0.1984,19841.66
2022,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Tiempo(Vehiculo-Km),Amortización Vehículo,0.2049,20487.27
2023,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Tiempo(Vehiculo-Km),Amortización Vehículo,0.2122,21216.0
2024,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Tiempo(Vehiculo-Km),Amortización Vehículo,0.2171,21707.26
2017,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Tiempo(Vehiculo-Km),Financiación Vehículo,0.0323,3229.49
2018,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Tiempo(Vehiculo-Km),Financiación Vehículo,0.0294,2937.08
2019,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Tiempo(Vehiculo-Km),Financiación Vehículo,0.0308,3084.06
2020,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Tiempo(Vehiculo-Km),Financiación Vehículo,0.029,2902.86
2021,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Tiempo(Vehiculo-Km),Financiación Vehículo,0.03,3004.68
2022,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Tiempo(Vehiculo-Km),Financiación Vehículo,0.0369,3688.5
2023,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Tiempo(Vehiculo-Km),Financiación Vehículo,0.0616,6160.82
2024,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Tiempo(Vehiculo-Km),Financiación Vehículo,0.0633,6329.59
2017,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Tiempo(Vehiculo-Km),Salarios,0.3194,31937.81
2018,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Tiempo(Vehiculo-Km),Salarios,0.3255,32552.25
2019,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Tiempo(Vehiculo-Km),Salarios,0.3306,33056.2
2020,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Tiempo(Vehiculo-Km),Salarios,0.3351,33511.47
2021,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Tiempo(Vehiculo-Km),Salarios,0.3414,34138.02
2022,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Tiempo(Vehiculo-Km),Salarios,0.3463,34629.13
2023,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Tiempo(Vehiculo-Km),Salarios,0.3588,35876.86
2024,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Tiempo(Vehiculo-Km),Salarios,0.3779,37786.22
2017,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Tiempo(Vehiculo-Km),Seguros,0.0757,7565.97
2018,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Tiempo(Vehiculo-Km),Seguros,0.0769,7689.01
2019,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Tiempo(Vehiculo-Km),Seguros,0.0786,7860.32
2020,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Tiempo(Vehiculo-Km),Seguros,0.0788,7875.04
2021,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Tiempo(Vehiculo-Km),Seguros,0.0794,7942.83
2022,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Tiempo(Vehiculo-Km),Seguros,0.0802,8019.11
2023,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Tiempo(Vehiculo-Km),Seguros,0.0828,8279.73
2024,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Tiempo(Vehiculo-Km),Seguros,0.0897,8967.37
2017,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Tiempo(Vehiculo-Km),Costes Fiscales,0.0134,1343.67
2018,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Tiempo(Vehiculo-Km),Costes Fiscales,0.0137,1367.54
2019,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Tiempo(Vehiculo-Km),Costes Fiscales,0.0139,1391.36
2020,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Tiempo(Vehiculo-Km),Costes Fiscales,0.0139,1389.6
2021,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Tiempo(Vehiculo-Km),Costes Fiscales,0.014,1399.89
2022,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Tiempo(Vehiculo-Km),Costes Fiscales,0.0148,1482.42
2023,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Tiempo(Vehiculo-Km),Costes Fiscales,0.0158,1575.8
2024,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Tiempo(Vehiculo-Km),Costes Fiscales,0.0162,1624.06
2017,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Km Recorridos(Vehículo-Km),Combustible,0.2853,28533.1
2018,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Km Recorridos(Vehículo-Km),Combustible,0.3155,31547.69
2019,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Km Recorridos(Vehículo-Km),Combustible,0.3108,31079.51
2020,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Km Recorridos(Vehículo-Km),Combustible,0.2763,27633.08
2021,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Km Recorridos(Vehículo-Km),Combustible,0.3157,31567.07
2022,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Km Recorridos(Vehículo-Km),Combustible,0.4728,47278.12
2023,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Km Recorridos(Vehículo-Km),Combustible,0.4148,41475.13
2024,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Km Recorridos(Vehículo-Km),Combustible,0.3859,38594.67
2017,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Km Recorridos(Vehículo-Km),Disolución De Urea,0.0135,1346.09
2018,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Km Recorridos(Vehículo-Km),Disolución De Urea,0.0137,1370.97
2019,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Km Recorridos(Vehículo-Km),Disolución De Urea,0.0139,1393.24
2020,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Km Recorridos(Vehículo-Km),Disolución De Urea,0.0142,1415.55
2021,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Km Recorridos(Vehículo-Km),Disolución De Urea,0.0145,1446.7
2022,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Km Recorridos(Vehículo-Km),Disolución De Urea,0.015,1502.29
2023,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Km Recorridos(Vehículo-Km),Disolución De Urea,0.016,1597.25
2024,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Km Recorridos(Vehículo-Km),Disolución De Urea,0.0167,1665.85
2017,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Km Recorridos(Vehículo-Km),Neumáticos,0.045,4496.86
2018,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Km Recorridos(Vehículo-Km),Neumáticos,0.0451,4513.74
2019,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Km Recorridos(Vehículo-Km),Neumáticos,0.0449,4490.14
2020,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Km Recorridos(Vehículo-Km),Neumáticos,0.0455,4552.1
2021,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Km Recorridos(Vehículo-Km),Neumáticos,0.0464,4639.94
2022,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Km Recorridos(Vehículo-Km),Neumáticos,0.0506,5057.92
2023,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Km Recorridos(Vehículo-Km),Neumáticos,0.0556,5564.76
2024,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Km Recorridos(Vehículo-Km),Neumáticos,0.0572,5718.08
2017,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Km Recorridos(Vehículo-Km),Mantenimiento,0.0481,4809.15
2018,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Km Recorridos(Vehículo-Km),Mantenimiento,0.049,4898.03
2019,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Km Recorridos(Vehículo-Km),Mantenimiento,0.0498,4977.63
2020,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Km Recorridos(Vehículo-Km),Mantenimiento,0.0506,5057.3
2021,Cisterna Articulado De Mercancías Peligrosas (Gases Glp),Costes Directos,Por Km Recorridos(Vehículo-Km),Mantenimiento,0.0517,5168.58
