Año,Vehículo,Categoría Costes,Subcategoría Costes,Tipo Costes,Costes Unitarios,Costes Anuales
2018,Articulado De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Reparaciones,0.0299,3583.95
2019,Articulado De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Reparaciones,0.0304,3642.18
2020,Articulado De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Reparaciones,0.0308,3700.47
2021,Articulado De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Reparaciones,0.0315,3781.89
2022,Articulado De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Reparaciones,0.0327,3927.21
2023,Articulado De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Reparaciones,0.0348,4175.49
2024,Articulado De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Reparaciones,0.0363,4354.83
2017,Articulado De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Dietas,0.115,13804.41
2018,Articulado De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Dietas,0.1172,14069.92
2019,Articulado De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Dietas,0.1191,14287.34
2020,Articulado De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Dietas,0.1207,14485.16
2021,Articulado De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Dietas,0.123,14756.0
2022,Articulado De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Dietas,0.1247,14967.38
2023,Articulado De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Dietas,0.1292,15506.67
2024,Articulado De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Dietas,0.1361,16331.91
2017,Articulado De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Peajes,0.0157,1888.49
2018,Articulado De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Peajes,0.016,1922.05
2019,Articulado De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Peajes,0.0163,1955.51
2020,Articulado De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Peajes,0.0163,1953.06
2021,Articulado De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Peajes,0.0164,1967.52
2022,Articulado De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Peajes,0.0174,2083.49
2023,Articulado De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Peajes,0.0185,2214.72
2024,Articulado De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Peajes,0.019,2282.59
2017,Articulado De Carga General,Costes Indirectos,Indirectos(Vehículo-Km),Indirectos,0.0634,7608.23
2018,Articulado De Carga General,Costes Indirectos,Indirectos(Vehículo-Km),Indirectos,0.066,7915.01
2019,Articulado De Carga General,Costes Indirectos,Indirectos(Vehículo-Km),Indirectos,0.0663,7956.97
2020,Articulado De Carga General,Costes Indirectos,Indirectos(Vehículo-Km),Indirectos,0.0645,7736.0
2021,Articulado De Carga General,Costes Indirectos,Indirectos(Vehículo-Km),Indirectos,0.0678,8140.1
2022,Articulado De Carga General,Costes Indirectos,Indirectos(Vehículo-Km),Indirectos,0.0797,9562.61
2023,Articulado De Carga General,Costes Indirectos,Indirectos(Vehículo-Km),Indirectos,0.079,9481.78
2024,Articulado De Carga General,Costes Indirectos,Indirectos(Vehículo-Km),Indirectos,0.0794,9533.09
2017,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Tiempo(Vehiculo-Km),Amortización Vehículo,0.1329,19937.4
2018,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Tiempo(Vehiculo-Km),Amortización Vehículo,0.1344,20160.31
2019,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Tiempo(Vehiculo-Km),Amortización Vehículo,0.1356,20342.28
2020,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Tiempo(Vehiculo-Km),Amortización Vehículo,0.1368,20519.53
2021,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Tiempo(Vehiculo-Km),Amortización Vehículo,0.1382,20724.88
2022,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Tiempo(Vehiculo-Km),Amortización Vehículo,0.1426,21386.92
2023,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Tiempo(Vehiculo-Km),Amortización Vehículo,0.1476,22132.59
2024,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Tiempo(Vehiculo-Km),Amortización Vehículo,0.151,22643.95
2017,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Tiempo(Vehiculo-Km),Financiación Vehículo,0.0215,3221.68
2018,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Tiempo(Vehiculo-Km),Financiación Vehículo,0.0195,2929.97
2019,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Tiempo(Vehiculo-Km),Financiación Vehículo,0.0205,3076.6
2020,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Tiempo(Vehiculo-Km),Financiación Vehículo,0.0193,2895.83
2021,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Tiempo(Vehiculo-Km),Financiación Vehículo,0.02,2997.41
