año,ccaa_origen,ccaa_destino,ton-km,toneladas
2017,"Rioja, La","Madrid, Comunidad de",108.8,318.38
2017,"Rioja, La","Murcia, Región de",78.29,115.25
2017,"Rioja, La","Navarra, Comunidad Foral de",71.49,1104.27
2017,"Rioja, La",País Vasco,126.69,1176.74
2017,"Rioja, La","Rioja, La",97.34,5077.62
2018,Andalucía,Andalucía,10926.06,171788.69
2018,Andalucía,Aragón,239.82,285.14
2018,Andalucía,"Asturias, Principado de",128.06,135.86
2018,Andalucía,Cantabria,73.64,84.5
2018,Andalucía,Castilla - La Mancha,1129.94,2981.16
2018,Andalucía,Castilla y León,929.05,1409.58
2018,Andalucía,Cataluña,2291.49,2472.69
2018,Andalucía,Comunitat Valenciana,2691.33,4875.59
2018,Andalucía,Extremadura,974.53,3986.6
2018,Andalucía,Galicia,440.18,462.48
2018,Andalucía,"Madrid, Comunidad de",1696.62,3355.9
2018,Andalucía,"Murcia, Región de",803.92,3038.27
2018,Andalucía,"Navarra, Comunidad Foral de",296.74,353.21
2018,Andalucía,País Vasco,664.49,742.47
2018,Andalucía,"Rioja, La",30.64,34.64
2018,Aragón,Andalucía,508.58,644.14
2018,Aragón,Aragón,1611.32,45080.15
2018,Aragón,"Asturias, Principado de",76.8,119.49
2018,Aragón,Cantabria,91.29,213.26
2018,Aragón,Castilla - La Mancha,513.13,1544.2
2018,Aragón,Castilla y León,506.94,1589.01
2018,Aragón,Cataluña,1828.16,7898.05
2018,Aragón,Comunitat Valenciana,1407.78,5663.51
2018,Aragón,Extremadura,50.01,76.23
2018,Aragón,Galicia,322.91,385.92
2018,Aragón,"Madrid, Comunidad de",679.85,2094.75
2018,Aragón,"Murcia, Región de",195.3,352.16
2018,Aragón,"Navarra, Comunidad Foral de",250.42,1935.67
2018,Aragón,País Vasco,505.33,1750.7
2018,Aragón,"Rioja, La",118.44,829.15
2018,"Asturias, Principado de",Andalucía,226.86,257.33
2018,"Asturias, Principado de",Aragón,195.96,319.93
2018,"Asturias, Principado de","Asturias, Principado de",649.93,23206.0
2018,"Asturias, Principado de",Cantabria,237.45,1180.94
2018,"Asturias, Principado de",Castilla - La Mancha,88.4,145.11
2018,"Asturias, Principado de",Castilla y León,501.88,2145.85
2018,"Asturias, Principado de",Cataluña,405.83,467.32
2018,"Asturias, Principado de",Comunitat Valenciana,224.0,265.39
2018,"Asturias, Principado de",Extremadura,48.48,73.81
2018,"Asturias, Principado de",Galicia,324.8,1405.37
2018,"Asturias, Principado de","Madrid, Comunidad de",252.07,499.06
2018,"Asturias, Principado de","Murcia, Región de",74.28,82.44
2018,"Asturias, Principado de","Navarra, Comunidad Foral de",128.66,290.72
2018,"Asturias, Principado de",País Vasco,395.66,1209.11
2018,"Asturias, Principado de","Rioja, La",33.26,71.62
2018,Cantabria,Andalucía,159.51,180.72
2018,Cantabria,Aragón,91.96,238.23
2018,Cantabria,"Asturias, Principado de",101.53,536.04
2018,Cantabria,Cantabria,302.49,13676.31
2018,Cantabria,Castilla - La Mancha,78.03,155.82
2018,Cantabria,Castilla y León,449.52,1892.66
2018,Cantabria,Cataluña,446.35,640.17
2018,Cantabria,Comunitat Valenciana,229.84,334.26
2018,Cantabria,Extremadura,25.04,38.98
2018,Cantabria,Galicia,74.06,144.53
2018,Cantabria,"Madrid, Comunidad de",260.4,598.08
2018,Cantabria,"Murcia, Región de",31.8,36.98
2018,Cantabria,"Navarra, Comunidad Foral de",46.97,182.23
2018,Cantabria,País Vasco,314.93,3558.29
2018,Cantabria,"Rioja, La",6.62,25.17
2018,Castilla - La Mancha,Andalucía,2091.13,5856.71
2018,Castilla - La Mancha,Aragón,290.92,938.18
2018,Castilla - La Mancha,"Asturias, Principado de",107.29,197.47
2018,Castilla - La Mancha,Cantabria,123.06,264.84
2018,Castilla - La Mancha,Castilla - La Mancha,2445.06,51080.41
2018,Castilla - La Mancha,Castilla y León,807.38,2751.17
2018,Castilla - La Mancha,Cataluña,1355.59,2296.88
2018,Castilla - La Mancha,Comunitat Valenciana,1949.33,7658.3
2018,Castilla - La Mancha,Extremadura,414.15,1389.7
2018,Castilla - La Mancha,Galicia,502.17,715.56
2018,Castilla - La Mancha,"Madrid, Comunidad de",1268.81,14463.47
2018,Castilla - La Mancha,"Murcia, Región de",643.21,2397.41
2018,Castilla - La Mancha,"Navarra, Comunidad Foral de",202.77,488.24
2018,Castilla - La Mancha,País Vasco,363.27,716.7
2018,Castilla - La Mancha,"Rioja, La",51.11,125.3
2018,Castilla y León,Andalucía,1150.08,1818.03
2018,Castilla y León,Aragón,488.01,1725.69
2018,Castilla y León,"Asturias, Principado de",430.52,2299.94
2018,Castilla y León,Cantabria,395.6,2771.46
2018,Castilla y León,Castilla - La Mancha,802.14,2933.13
2018,Castilla y León,Castilla y León,3941.95,75334.1
2018,Castilla y León,Cataluña,1457.29,2267.34
2018,Castilla y León,Comunitat Valenciana,1150.76,2109.25
2018,Castilla y León,Extremadura,367.84,1077.99
2018,Castilla y León,Galicia,1058.3,3167.09
2018,Castilla y León,"Madrid, Comunidad de",1093.77,5182.1
2018,Castilla y León,"Murcia, Región de",309.79,496.17
2018,Castilla y León,"Navarra, Comunidad Foral de",338.21,1526.43
2018,Castilla y León,País Vasco,932.41,4358.37
2018,Castilla y León,"Rioja, La",124.7,782.02
2018,Cataluña,Andalucía,2618.53,2805.53
2018,Cataluña,Aragón,2242.25,11038.72
2018,Cataluña,"Asturias, Principado de",353.47,398.75
2018,Cataluña,Cantabria,215.8,309.4
2018,Cataluña,Castilla - La Mancha,1085.03,1849.38
2018,Cataluña,Castilla y León,1240.17,1888.59
2018,Cataluña,Cataluña,8391.21,189761.89
2018,Cataluña,Comunitat Valenciana,2517.95,8542.93
2018,Cataluña,Extremadura,244.6,264.2
2018,Cataluña,Galicia,932.25,881.08
2018,Cataluña,"Madrid, Comunidad de",2108.09,3482.64
2018,Cataluña,"Murcia, Región de",621.02,1069.51
2018,Cataluña,"Navarra, Comunidad Foral de",505.83,1216.76
2018,Cataluña,País Vasco,1017.07,1805.05
2018,Cataluña,"Rioja, La",138.02,330.02
2018,Comunitat Valenciana,Andalucía,2480.19,4459.8
2018,Comunitat Valenciana,Aragón,963.06,3454.63
2018,Comunitat Valenciana,"Asturias, Principado de",229.09,268.74
2018,Comunitat Valenciana,Cantabria,183.83,262.85
2018,Comunitat Valenciana,Castilla - La Mancha,1702.13,7060.7
2018,Comunitat Valenciana,Castilla y León,1009.46,1753.99
2018,Comunitat Valenciana,Cataluña,2408.39,7072.64
2018,Comunitat Valenciana,Comunitat Valenciana,5850.65,155527.71
2018,Comunitat Valenciana,Extremadura,334.92,516.69
2018,Comunitat Valenciana,Galicia,367.1,376.22
2018,Comunitat Valenciana,"Madrid, Comunidad de",2149.17,5830.53
2018,Comunitat Valenciana,"Murcia, Región de",955.59,5979.92
2018,Comunitat Valenciana,"Navarra, Comunidad Foral de",246.18,517.09
2018,Comunitat Valenciana,País Vasco,755.21,1219.52
2018,Comunitat Valenciana,"Rioja, La",133.21,247.84
2018,Extremadura,Andalucía,697.79,2897.57
2018,Extremadura,Aragón,66.03,85.88
2018,Extremadura,"Asturias, Principado de",17.58,28.6
2018,Extremadura,Cantabria,17.45,26.25
2018,Extremadura,Castilla - La Mancha,303.16,1162.86
2018,Extremadura,Castilla y León,277.01,863.48
2018,Extremadura,Cataluña,232.39,245.19
2018,Extremadura,Comunitat Valenciana,402.83,643.23
2018,Extremadura,Extremadura,806.5,18554.22
2018,Extremadura,Galicia,87.96,126.36
2018,Extremadura,"Madrid, Comunidad de",230.01,711.59
2018,Extremadura,"Murcia, Región de",92.91,153.02
2018,Extremadura,"Navarra, Comunidad Foral de",25.14,39.16
2018,Extremadura,País Vasco,126.33,173.02
2018,Extremadura,"Rioja, La",,
2018,Galicia,Andalucía,839.62,887.15
2018,Galicia,Aragón,462.43,577.43
2018,Galicia,"Asturias, Principado de",704.77,5079.6
2018,Galicia,Cantabria,201.03,448.87
2018,Galicia,Castilla - La Mancha,619.41,924.24
2018,Galicia,Castilla y León,1104.39,3550.08
2018,Galicia,Cataluña,855.09,808.05
2018,Galicia,Comunitat Valenciana,744.6,773.38
2018,Galicia,Extremadura,67.9,96.74
2018,Galicia,Galicia,3652.76,74576.9
2018,Galicia,"Madrid, Comunidad de",1063.0,1806.67
2018,Galicia,"Murcia, Región de",148.54,150.05
2018,Galicia,"Navarra, Comunidad Foral de",84.07,117.11
2018,Galicia,País Vasco,704.46,1190.23
2018,Galicia,"Rioja, La",51.88,83.67
2018,"Madrid, Comunidad de",Andalucía,1886.61,3782.94
2018,"Madrid, Comunidad de",Aragón,613.82,1923.94
2018,"Madrid, Comunidad de","Asturias, Principado de",305.44,625.61
2018,"Madrid, Comunidad de",Cantabria,252.68,564.94
2018,"Madrid, Comunidad de",Castilla - La Mancha,896.13,10033.4
2018,"Madrid, Comunidad de",Castilla y León,997.74,4539.86
2018,"Madrid, Comunidad de",Cataluña,1212.8,1982.62
2018,"Madrid, Comunidad de",Comunitat Valenciana,1534.88,4105.91
2018,"Madrid, Comunidad de",Extremadura,280.57,806.66
2018,"Madrid, Comunidad de",Galicia,966.19,1577.66
2018,"Madrid, Comunidad de","Madrid, Comunidad de",1513.28,62338.1
2018,"Madrid, Comunidad de","Murcia, Región de",326.18,788.21
2018,"Madrid, Comunidad de","Navarra, Comunidad Foral de",175.8,420.47
2018,"Madrid, Comunidad de",País Vasco,585.84,1369.21
2018,"Madrid, Comunidad de","Rioja, La",112.0,315.47
2018,"Murcia, Región de",Andalucía,1315.79,5211.3
2018,"Murcia, Región de",Aragón,193.88,344.39
2018,"Murcia, Región de","Asturias, Principado de",47.22,56.81
2018,"Murcia, Región de",Cantabria,24.38,30.75
2018,"Murcia, Región de",Castilla - La Mancha,786.86,2828.31
2018,"Murcia, Región de",Castilla y León,190.98,300.13
2018,"Murcia, Región de",Cataluña,744.74,1227.64
2018,"Murcia, Región de",Comunitat Valenciana,1223.13,8900.6
2018,"Murcia, Región de",Extremadura,119.57,192.33
2018,"Murcia, Región de",Galicia,113.48,112.71
2018,"Murcia, Región de","Madrid, Comunidad de",550.31,1347.83
2018,"Murcia, Región de","Murcia, Región de",1261.96,40666.36
2018,"Murcia, Región de","Navarra, Comunidad Foral de",74.54,108.88
2018,"Murcia, Región de",País Vasco,105.58,129.9
2018,"Murcia, Región de","Rioja, La",29.1,47.47
2018,"Navarra, Comunidad Foral de",Andalucía,282.03,318.24
2018,"Navarra, Comunidad Foral de",Aragón,372.78,2767.71
2018,"Navarra, Comunidad Foral de","Asturias, Principado de",25.57,57.28
2018,"Navarra, Comunidad Foral de",Cantabria,54.12,186.1
2018,"Navarra, Comunidad Foral de",Castilla - La Mancha,201.58,472.13
2018,"Navarra, Comunidad Foral de",Castilla y León,386.4,1598.06
2018,"Navarra, Comunidad Foral de",Cataluña,468.8,1083.14
2018,"Navarra, Comunidad Foral de",Comunitat Valenciana,381.68,727.33
2018,"Navarra, Comunidad Foral de",Extremadura,9.22,14.3
2018,"Navarra, Comunidad Foral de",Galicia,207.99,292.88
2018,"Navarra, Comunidad Foral de","Madrid, Comunidad de",352.81,882.45
2018,"Navarra, Comunidad Foral de","Murcia, Región de",74.13,103.26
2018,"Navarra, Comunidad Foral de","Navarra, Comunidad Foral de",397.74,15002.6
2018,"Navarra, Comunidad Foral de",País Vasco,480.98,4136.61
2018,"Navarra, Comunidad Foral de","Rioja, La",100.15,1701.74
2018,País Vasco,Andalucía,532.51,597.47
2018,País Vasco,Aragón,508.54,1661.41
2018,País Vasco,"Asturias, Principado de",253.4,859.7
2018,País Vasco,Cantabria,253.93,2128.64
2018,País Vasco,Castilla - La Mancha,372.03,757.29
2018,País Vasco,Castilla y León,975.49,4298.81
2018,País Vasco,Cataluña,952.18,1692.18
2018,País Vasco,Comunitat Valenciana,762.5,1188.63
2018,País Vasco,Extremadura,44.27,63.64
2018,País Vasco,Galicia,647.55,1048.63
2018,País Vasco,"Madrid, Comunidad de",739.16,1703.43
2018,País Vasco,"Murcia, Región de",168.61,218.13
2018,País Vasco,"Navarra, Comunidad Foral de",540.87,4104.58
2018,País Vasco,País Vasco,1632.7,44489.91
2018,País Vasco,"Rioja, La",143.05,1102.56
2018,"Rioja, La",Andalucía,187.07,224.61
2018,"Rioja, La",Aragón,104.84,614.94
2018,"Rioja, La","Asturias, Principado de",17.9,37.83
2018,"Rioja, La",Cantabria,33.13,146.54
2018,"Rioja, La",Castilla - La Mancha,99.87,255.7
2018,"Rioja, La",Castilla y León,114.86,637.91
2018,"Rioja, La",Cataluña,201.31,471.12
2018,"Rioja, La",Comunitat Valenciana,184.66,365.0
2018,"Rioja, La",Extremadura,,
2018,"Rioja, La",Galicia,103.91,170.02
2018,"Rioja, La","Madrid, Comunidad de",150.56,437.98
