año,comunidad_origen,comunidad_destino,valor
2018,"Asturias, Principado de",Andalucía,226.86
2018,"Asturias, Principado de",Aragón,195.96
2018,"Asturias, Principado de","Asturias, Principado de",649.93
2018,"Asturias, Principado de",Cantabria,237.45
2018,"Asturias, Principado de",Castilla - La Mancha,88.4
2018,"Asturias, Principado de",Castilla y León,501.88
2018,"Asturias, Principado de",Cataluña,405.83
2018,"Asturias, Principado de",Comunitat Valenciana,224.0
2018,"Asturias, Principado de",Extremadura,48.48
2018,"Asturias, Principado de",Galicia,324.8
2018,"Asturias, Principado de","Madrid, Comunidad de",252.07
2018,"Asturias, Principado de","Murcia, Región de",74.28
2018,"Asturias, Principado de","Navarra, Comunidad Foral de",128.66
2018,"Asturias, Principado de",País Vasco,395.66
2018,"Asturias, Principado de","Rioja, La",33.26
2018,Cantabria,Andalucía,159.51
2018,Cantabria,Aragón,91.96
2018,Cantabria,"Asturias, Principado de",101.53
2018,Cantabria,Cantabria,302.49
2018,Cantabria,Castilla - La Mancha,78.03
2018,Cantabria,Castilla y León,449.52
2018,Cantabria,Cataluña,446.35
2018,Cantabria,Comunitat Valenciana,229.84
2018,Cantabria,Extremadura,25.04
2018,Cantabria,Galicia,74.06
2018,Cantabria,"Madrid, Comunidad de",260.4
2018,Cantabria,"Murcia, Región de",31.8
2018,Cantabria,"Navarra, Comunidad Foral de",46.97
2018,Cantabria,País Vasco,314.93
2018,Cantabria,"Rioja, La",6.62
2018,Castilla - La Mancha,Andalucía,2091.13
2018,Castilla - La Mancha,Aragón,290.92
2018,Castilla - La Mancha,"Asturias, Principado de",107.29
2018,Castilla - La Mancha,Cantabria,123.06
2018,Castilla - La Mancha,Castilla - La Mancha,2445.06
2018,Castilla - La Mancha,Castilla y León,807.38
2018,Castilla - La Mancha,Cataluña,1355.59
2018,Castilla - La Mancha,Comunitat Valenciana,1949.33
2018,Castilla - La Mancha,Extremadura,414.15
2018,Castilla - La Mancha,Galicia,502.17
2018,Castilla - La Mancha,"Madrid, Comunidad de",1268.81
2018,Castilla - La Mancha,"Murcia, Región de",643.21
2018,Castilla - La Mancha,"Navarra, Comunidad Foral de",202.77
2018,Castilla - La Mancha,País Vasco,363.27
2018,Castilla - La Mancha,"Rioja, La",51.11
2018,Castilla y León,Andalucía,1150.08
2018,Castilla y León,Aragón,488.01
2018,Castilla y León,"Asturias, Principado de",430.52
2018,Castilla y León,Cantabria,395.6
2018,Castilla y León,Castilla - La Mancha,802.14
2018,Castilla y León,Castilla y León,3941.95
2018,Castilla y León,Cataluña,1457.29
2018,Castilla y León,Comunitat Valenciana,1150.76
2018,Castilla y León,Extremadura,367.84
2018,Castilla y León,Galicia,1058.3
2018,Castilla y León,"Madrid, Comunidad de",1093.77
2018,Castilla y León,"Murcia, Región de",309.79
2018,Castilla y León,"Navarra, Comunidad Foral de",338.21
2018,Castilla y León,País Vasco,932.41
2018,Castilla y León,"Rioja, La",124.7
2018,Cataluña,Andalucía,2618.53
2018,Cataluña,Aragón,2242.25
2018,Cataluña,"Asturias, Principado de",353.47
2018,Cataluña,Cantabria,215.8
2018,Cataluña,Castilla - La Mancha,1085.03
2018,Cataluña,Castilla y León,1240.17
2018,Cataluña,Cataluña,8391.21
2018,Cataluña,Comunitat Valenciana,2517.95
2018,Cataluña,Extremadura,244.6
2018,Cataluña,Galicia,932.25
2018,Cataluña,"Madrid, Comunidad de",2108.09
2018,Cataluña,"Murcia, Región de",621.02
2018,Cataluña,"Navarra, Comunidad Foral de",505.83
2018,Cataluña,País Vasco,1017.07
2018,Cataluña,"Rioja, La",138.02
2018,Comunitat Valenciana,Andalucía,2480.19
2018,Comunitat Valenciana,Aragón,963.06
2018,Comunitat Valenciana,"Asturias, Principado de",229.09
2018,Comunitat Valenciana,Cantabria,183.83
2018,Comunitat Valenciana,Castilla - La Mancha,1702.13
2018,Comunitat Valenciana,Castilla y León,1009.46
2018,Comunitat Valenciana,Cataluña,2408.39
2018,Comunitat Valenciana,Comunitat Valenciana,5850.65
2018,Comunitat Valenciana,Extremadura,334.92
2018,Comunitat Valenciana,Galicia,367.1
2018,Comunitat Valenciana,"Madrid, Comunidad de",2149.17
2018,Comunitat Valenciana,"Murcia, Región de",955.59
2018,Comunitat Valenciana,"Navarra, Comunidad Foral de",246.18
2018,Comunitat Valenciana,País Vasco,755.21
2018,Comunitat Valenciana,"Rioja, La",133.21
2018,Extremadura,Andalucía,697.79
2018,Extremadura,Aragón,66.03
2018,Extremadura,"Asturias, Principado de",17.58
2018,Extremadura,Cantabria,17.45
2018,Extremadura,Castilla - La Mancha,303.16
2018,Extremadura,Castilla y León,277.01
2018,Extremadura,Cataluña,232.39
2018,Extremadura,Comunitat Valenciana,402.83
2018,Extremadura,Extremadura,806.5
2018,Extremadura,Galicia,87.96
2018,Extremadura,"Madrid, Comunidad de",230.01
2018,Extremadura,"Murcia, Región de",92.91
2018,Extremadura,"Navarra, Comunidad Foral de",25.14
2018,Extremadura,País Vasco,126.33
2018,Extremadura,"Rioja, La",
2018,Galicia,Andalucía,839.62
2018,Galicia,Aragón,462.43
2018,Galicia,"Asturias, Principado de",704.77
2018,Galicia,Cantabria,201.03
2018,Galicia,Castilla - La Mancha,619.41
2018,Galicia,Castilla y León,1104.39
2018,Galicia,Cataluña,855.09
2018,Galicia,Comunitat Valenciana,744.6
2018,Galicia,Extremadura,67.9
2018,Galicia,Galicia,3652.76
2018,Galicia,"Madrid, Comunidad de",1063.0
2018,Galicia,"Murcia, Región de",148.54
2018,Galicia,"Navarra, Comunidad Foral de",84.07
2018,Galicia,País Vasco,704.46
2018,Galicia,"Rioja, La",51.88
2018,"Madrid, Comunidad de",Andalucía,1886.61
2018,"Madrid, Comunidad de",Aragón,613.82
2018,"Madrid, Comunidad de","Asturias, Principado de",305.44
2018,"Madrid, Comunidad de",Cantabria,252.68
2018,"Madrid, Comunidad de",Castilla - La Mancha,896.13
2018,"Madrid, Comunidad de",Castilla y León,997.74
2018,"Madrid, Comunidad de",Cataluña,1212.8
2018,"Madrid, Comunidad de",Comunitat Valenciana,1534.88
2018,"Madrid, Comunidad de",Extremadura,280.57
2018,"Madrid, Comunidad de",Galicia,966.19
2018,"Madrid, Comunidad de","Madrid, Comunidad de",1513.28
2018,"Madrid, Comunidad de","Murcia, Región de",326.18
2018,"Madrid, Comunidad de","Navarra, Comunidad Foral de",175.8
2018,"Madrid, Comunidad de",País Vasco,585.84
2018,"Madrid, Comunidad de","Rioja, La",112.0
2018,"Murcia, Región de",Andalucía,1315.79
2018,"Murcia, Región de",Aragón,193.88
2018,"Murcia, Región de","Asturias, Principado de",47.22
2018,"Murcia, Región de",Cantabria,24.38
2018,"Murcia, Región de",Castilla - La Mancha,786.86
2018,"Murcia, Región de",Castilla y León,190.98
2018,"Murcia, Región de",Cataluña,744.74
2018,"Murcia, Región de",Comunitat Valenciana,1223.13
2018,"Murcia, Región de",Extremadura,119.57
2018,"Murcia, Región de",Galicia,113.48
2018,"Murcia, Región de","Madrid, Comunidad de",550.31
2018,"Murcia, Región de","Murcia, Región de",1261.96
2018,"Murcia, Región de","Navarra, Comunidad Foral de",74.54
2018,"Murcia, Región de",País Vasco,105.58
2018,"Murcia, Región de","Rioja, La",29.1
2018,"Navarra, Comunidad Foral de",Andalucía,282.03
2018,"Navarra, Comunidad Foral de",Aragón,372.78
2018,"Navarra, Comunidad Foral de","Asturias, Principado de",25.57
2018,"Navarra, Comunidad Foral de",Cantabria,54.12
2018,"Navarra, Comunidad Foral de",Castilla - La Mancha,201.58
2018,"Navarra, Comunidad Foral de",Castilla y León,386.4
2018,"Navarra, Comunidad Foral de",Cataluña,468.8
2018,"Navarra, Comunidad Foral de",Comunitat Valenciana,381.68
2018,"Navarra, Comunidad Foral de",Extremadura,9.22
2018,"Navarra, Comunidad Foral de",Galicia,207.99
2018,"Navarra, Comunidad Foral de","Madrid, Comunidad de",352.81
2018,"Navarra, Comunidad Foral de","Murcia, Región de",74.13
2018,"Navarra, Comunidad Foral de","Navarra, Comunidad Foral de",397.74
2018,"Navarra, Comunidad Foral de",País Vasco,480.98
2018,"Navarra, Comunidad Foral de","Rioja, La",100.15
2018,País Vasco,Andalucía,532.51
2018,País Vasco,Aragón,508.54
2018,País Vasco,"Asturias, Principado de",253.4
2018,País Vasco,Cantabria,253.93
2018,País Vasco,Castilla - La Mancha,372.03
2018,País Vasco,Castilla y León,975.49
2018,País Vasco,Cataluña,952.18
2018,País Vasco,Comunitat Valenciana,762.5
2018,País Vasco,Extremadura,44.27
2018,País Vasco,Galicia,647.55
2018,País Vasco,"Madrid, Comunidad de",739.16
2018,País Vasco,"Murcia, Región de",168.61
2018,País Vasco,"Navarra, Comunidad Foral de",540.87
2018,País Vasco,País Vasco,1632.7
2018,País Vasco,"Rioja, La",143.05
2018,"Rioja, La",Andalucía,187.07
2018,"Rioja, La",Aragón,104.84
2018,"Rioja, La","Asturias, Principado de",17.9
2018,"Rioja, La",Cantabria,33.13
2018,"Rioja, La",Castilla - La Mancha,99.87
2018,"Rioja, La",Castilla y León,114.86
2018,"Rioja, La",Cataluña,201.31
2018,"Rioja, La",Comunitat Valenciana,184.66
2018,"Rioja, La",Extremadura,
2018,"Rioja, La",Galicia,103.91
2018,"Rioja, La","Madrid, Comunidad de",150.56
2018,"Rioja, La","Murcia, Región de",48.56
2018,"Rioja, La","Navarra, Comunidad Foral de",77.71
2018,"Rioja, La",País Vasco,142.38
2018,"Rioja, La","Rioja, La",147.58
2019,Andalucía,Andalucía,11962.75
2019,Andalucía,Aragón,549.33
2019,Andalucía,"Asturias, Principado de",69.05
2019,Andalucía,Cantabria,205.1
2019,Andalucía,Castilla - La Mancha,1304.51
2019,Andalucía,Castilla y León,955.18
2019,Andalucía,Cataluña,2391.26
2019,Andalucía,Comunitat Valenciana,2800.83
2019,Andalucía,Extremadura,1104.25
2019,Andalucía,Galicia,448.27
2019,Andalucía,"Madrid, Comunidad de",1581.24
2019,Andalucía,"Murcia, Región de",972.05
2019,Andalucía,"Navarra, Comunidad Foral de",314.02
2019,Andalucía,País Vasco,497.73
2019,Andalucía,"Rioja, La",113.65
2019,Aragón,Andalucía,604.9
2019,Aragón,Aragón,1789.84
2019,Aragón,"Asturias, Principado de",88.15
2019,Aragón,Cantabria,114.94
2019,Aragón,Castilla - La Mancha,432.39
2019,Aragón,Castilla y León,581.53
2019,Aragón,Cataluña,1963.32
2019,Aragón,Comunitat Valenciana,1259.72
2019,Aragón,Extremadura,54.42
2019,Aragón,Galicia,278.07
2019,Aragón,"Madrid, Comunidad de",758.6
2019,Aragón,"Murcia, Región de",234.48
2019,Aragón,"Navarra, Comunidad Foral de",353.63
2019,Aragón,País Vasco,517.09
2019,Aragón,"Rioja, La",135.29
2019,"Asturias, Principado de",Andalucía,249.11
2019,"Asturias, Principado de",Aragón,181.25
2019,"Asturias, Principado de","Asturias, Principado de",773.98
2019,"Asturias, Principado de",Cantabria,136.74
2019,"Asturias, Principado de",Castilla - La Mancha,181.52
2019,"Asturias, Principado de",Castilla y León,337.79
2019,"Asturias, Principado de",Cataluña,303.34
2019,"Asturias, Principado de",Comunitat Valenciana,277.9
2019,"Asturias, Principado de",Extremadura,80.25
2019,"Asturias, Principado de",Galicia,406.46
2019,"Asturias, Principado de","Madrid, Comunidad de",279.1
2019,"Asturias, Principado de","Murcia, Región de",97.01
2019,"Asturias, Principado de","Navarra, Comunidad Foral de",44.91
2019,"Asturias, Principado de",País Vasco,273.4
2019,"Asturias, Principado de","Rioja, La",29.17
2019,Cantabria,Andalucía,222.83
2019,Cantabria,Aragón,169.49
2019,Cantabria,"Asturias, Principado de",80.66
2019,Cantabria,Cantabria,490.57
2019,Cantabria,Castilla - La Mancha,95.23
2019,Cantabria,Castilla y León,479.85
2019,Cantabria,Cataluña,289.55
2019,Cantabria,Comunitat Valenciana,118.49
2019,Cantabria,Extremadura,24.96
2019,Cantabria,Galicia,124.22
2019,Cantabria,"Madrid, Comunidad de",261.51
2019,Cantabria,"Murcia, Región de",22.84
2019,Cantabria,"Navarra, Comunidad Foral de",46.67
2019,Cantabria,País Vasco,298.39
2019,Cantabria,"Rioja, La",32.82
2019,Castilla - La Mancha,Andalucía,2008.05
2019,Castilla - La Mancha,Aragón,320.58
2019,Castilla - La Mancha,"Asturias, Principado de",176.06
2019,Castilla - La Mancha,Cantabria,128.4
2019,Castilla - La Mancha,Castilla - La Mancha,2862.09
2019,Castilla - La Mancha,Castilla y León,833.73
2019,Castilla - La Mancha,Cataluña,1214.45
2019,Castilla - La Mancha,Comunitat Valenciana,2110.85
2019,Castilla - La Mancha,Extremadura,414.38
2019,Castilla - La Mancha,Galicia,565.82
2019,Castilla - La Mancha,"Madrid, Comunidad de",1316.4
2019,Castilla - La Mancha,"Murcia, Región de",656.58
2019,Castilla - La Mancha,"Navarra, Comunidad Foral de",209.45
2019,Castilla - La Mancha,País Vasco,523.19
2019,Castilla - La Mancha,"Rioja, La",63.92
2019,Castilla y León,Andalucía,1201.91
2019,Castilla y León,Aragón,596.59
2019,Castilla y León,"Asturias, Principado de",365.76
2019,Castilla y León,Cantabria,573.57
2019,Castilla y León,Castilla - La Mancha,840.19
2019,Castilla y León,Castilla y León,4193.86
2019,Castilla y León,Cataluña,1441.33
2019,Castilla y León,Comunitat Valenciana,1178.17
2019,Castilla y León,Extremadura,396.44
2019,Castilla y León,Galicia,1126.6
2019,Castilla y León,"Madrid, Comunidad de",1047.57
2019,Castilla y León,"Murcia, Región de",237.82
2019,Castilla y León,"Navarra, Comunidad Foral de",332.63
2019,Castilla y León,País Vasco,1067.18
2019,Castilla y León,"Rioja, La",90.64
2019,Cataluña,Andalucía,2524.79
2019,Cataluña,Aragón,2223.73
2019,Cataluña,"Asturias, Principado de",248.57
2019,Cataluña,Cantabria,236.49
2019,Cataluña,Castilla - La Mancha,943.86
2019,Cataluña,Castilla y León,1225.48
2019,Cataluña,Cataluña,8886.81
2019,Cataluña,Comunitat Valenciana,2773.08
2019,Cataluña,Extremadura,321.59
2019,Cataluña,Galicia,875.69
2019,Cataluña,"Madrid, Comunidad de",2255.08
2019,Cataluña,"Murcia, Región de",984.9
2019,Cataluña,"Navarra, Comunidad Foral de",554.56
2019,Cataluña,País Vasco,1359.69
2019,Cataluña,"Rioja, La",184.89
2019,Comunitat Valenciana,Andalucía,2498.96
2019,Comunitat Valenciana,Aragón,896.27
2019,Comunitat Valenciana,"Asturias, Principado de",147.57
2019,Comunitat Valenciana,Cantabria,147.79
2019,Comunitat Valenciana,Castilla - La Mancha,1837.48
2019,Comunitat Valenciana,Castilla y León,963.94
2019,Comunitat Valenciana,Cataluña,2591.95
2019,Comunitat Valenciana,Comunitat Valenciana,5990.43
2019,Comunitat Valenciana,Extremadura,235.21
2019,Comunitat Valenciana,Galicia,548.71
2019,Comunitat Valenciana,"Madrid, Comunidad de",1976.03
2019,Comunitat Valenciana,"Murcia, Región de",1255.0
2019,Comunitat Valenciana,"Navarra, Comunidad Foral de",305.66
2019,Comunitat Valenciana,País Vasco,822.94
2019,Comunitat Valenciana,"Rioja, La",89.76
2019,Extremadura,Andalucía,611.91
2019,Extremadura,Aragón,29.17
2019,Extremadura,"Asturias, Principado de",12.97
2019,Extremadura,Cantabria,21.79
2019,Extremadura,Castilla - La Mancha,243.28
2019,Extremadura,Castilla y León,317.17
2019,Extremadura,Cataluña,229.1
2019,Extremadura,Comunitat Valenciana,300.47
2019,Extremadura,Extremadura,764.05
2019,Extremadura,Galicia,72.66
2019,Extremadura,"Madrid, Comunidad de",271.49
2019,Extremadura,"Murcia, Región de",142.41
2019,Extremadura,"Navarra, Comunidad Foral de",42.43
2019,Extremadura,País Vasco,96.6
