Año,CCAA,Provincia,Tipo,Funcion,Superficie_m2
2017,Andalucía,Jaén,Plataforma logística industria,Plat. log. industria sanitaria,0.0
2017,Andalucía,Jaén,Plataforma logística industria,Plat. log. industria material construcción,2500.0
2017,Andalucía,Jaén,Plataforma logística industria,Plat. log. industria non food gran consumo,0.0
2017,Andalucía,Jaén,Plataforma logística industria,Plat. log. industria / varios,24170.0
2017,Andalucía,Jaén,Plataforma logística industria,Plat. log. temp. controlada ind. alimentaria,39800.0
2017,Andalucía,Jaén,Plataforma mixta,Plataforma mixta,0.0
2017,Andalucía,Jaén,Instalaciones especializadas,Frigorífico de servicios,0.0
2017,Andalucía,Jaén,Instalaciones especializadas,Almacén farmacéutico,10300.0
2017,Andalucía,Jaén,Instalaciones especializadas,Plat. log. mercancías peligrosas,0.0
2017,Andalucía,Jaén,Instalaciones especializadas,Plataforma automóvil,0.0
2017,Andalucía,Jaén,Instalaciones especializadas,Plat. log. textil,0.0
2017,Andalucía,Málaga,Almacenes transporte,Almacén aduanas / fiscal,0.0
2017,Andalucía,Málaga,Almacenes transporte,Almacén paquetería,65595.0
2017,Andalucía,Málaga,Almacenes transporte,Almacén transportista,30175.0
2017,Andalucía,Málaga,Plataforma logística distribución,Plat. log. distribución base alimentaria,275335.0
2017,Andalucía,Málaga,Plataforma logística distribución,Plat. log. distribución droguería-perfumería,1200.0
2017,Andalucía,Málaga,Plataforma logística distribución,Plat. log. distribución electro / tecnológica,7086.0
2017,Andalucía,Málaga,Plataforma logística distribución,Plat. log. distribución sanitaria,0.0
2017,Andalucía,Málaga,Plataforma logística distribución,Plat. log. distribución material construcción,11000.0
2017,Andalucía,Málaga,Plataforma logística distribución,Plat. log. distribución non food,150.0
2017,Andalucía,Málaga,Plataforma logística distribución,Plat. log. distribución / varios,3500.0
2017,Andalucía,Málaga,Plataforma logística distribución,Plat. log. temp. controlada dis. alimentaria,0.0
2017,Andalucía,Málaga,Plataforma logística distribución,Plat. log. e-commerce,0.0
2017,Andalucía,Málaga,Plataforma logística industria,Plat. log. industria alimentación y bebidas,35090.0
2017,Andalucía,Málaga,Plataforma logística industria,Plat. log. industria electro / tecnológica,1500.0
2017,Andalucía,Málaga,Plataforma logística industria,Plat. log. industria sanitaria,2000.0
2017,Andalucía,Málaga,Plataforma logística industria,Plat. log. industria material construcción,0.0
2017,Andalucía,Málaga,Plataforma logística industria,Plat. log. industria non food gran consumo,0.0
2017,Andalucía,Málaga,Plataforma logística industria,Plat. log. industria / varios,20000.0
2017,Andalucía,Málaga,Plataforma logística industria,Plat. log. temp. controlada ind. alimentaria,7987.0
2017,Andalucía,Málaga,Plataforma mixta,Plataforma mixta,0.0
2017,Andalucía,Málaga,Instalaciones especializadas,Frigorífico de servicios,3100.0
2017,Andalucía,Málaga,Instalaciones especializadas,Almacén farmacéutico,43350.0
2017,Andalucía,Málaga,Instalaciones especializadas,Plat. log. mercancías peligrosas,0.0
2017,Andalucía,Málaga,Instalaciones especializadas,Plataforma automóvil,0.0
2017,Andalucía,Málaga,Instalaciones especializadas,Plat. log. textil,66.0
2017,Andalucía,Sevilla,Almacenes transporte,Almacén aduanas / fiscal,0.0
2017,Andalucía,Sevilla,Almacenes transporte,Almacén paquetería,72381.0
2017,Andalucía,Sevilla,Almacenes transporte,Almacén transportista,105516.0
2017,Andalucía,Sevilla,Plataforma logística distribución,Plat. log. distribución base alimentaria,370688.0
2017,Andalucía,Sevilla,Plataforma logística distribución,Plat. log. distribución droguería-perfumería,14500.0
2017,Andalucía,Sevilla,Plataforma logística distribución,Plat. log. distribución electro / tecnológica,34500.0
2017,Andalucía,Sevilla,Plataforma logística distribución,Plat. log. distribución sanitaria,3800.0
2017,Andalucía,Sevilla,Plataforma logística distribución,Plat. log. distribución material construcción,0.0
2017,Andalucía,Sevilla,Plataforma logística distribución,Plat. log. distribución non food,0.0
2017,Andalucía,Sevilla,Plataforma logística distribución,Plat. log. distribución / varios,18331.0
2017,Andalucía,Sevilla,Plataforma logística distribución,Plat. log. temp. controlada dis. alimentaria,9070.0
2017,Andalucía,Sevilla,Plataforma logística distribución,Plat. log. e-commerce,0.0
2017,Andalucía,Sevilla,Plataforma logística industria,Plat. log. industria alimentación y bebidas,108795.0
2017,Andalucía,Sevilla,Plataforma logística industria,Plat. log. industria electro / tecnológica,450.0
2017,Andalucía,Sevilla,Plataforma logística industria,Plat. log. industria sanitaria,10350.0
2017,Andalucía,Sevilla,Plataforma logística industria,Plat. log. industria material construcción,500.0
2017,Andalucía,Sevilla,Plataforma logística industria,Plat. log. industria non food gran consumo,0.0
2017,Andalucía,Sevilla,Plataforma logística industria,Plat. log. industria / varios,277499.0
2017,Andalucía,Sevilla,Plataforma logística industria,Plat. log. temp. controlada ind. alimentaria,75916.0
2017,Andalucía,Sevilla,Plataforma mixta,Plataforma mixta,2500.0
2017,Andalucía,Sevilla,Instalaciones especializadas,Frigorífico de servicios,12500.0
2017,Andalucía,Sevilla,Instalaciones especializadas,Almacén farmacéutico,20500.0
2017,Andalucía,Sevilla,Instalaciones especializadas,Plat. log. mercancías peligrosas,0.0
2017,Andalucía,Sevilla,Instalaciones especializadas,Plataforma automóvil,0.0
2017,Andalucía,Sevilla,Instalaciones especializadas,Plat. log. textil,0.0
2017,Aragón,Huesca,Almacenes transporte,Almacén aduanas / fiscal,0.0
2017,Aragón,Huesca,Almacenes transporte,Almacén paquetería,3100.0
2017,Aragón,Huesca,Almacenes transporte,Almacén transportista,37000.0
2017,Aragón,Huesca,Plataforma logística distribución,Plat. log. distribución base alimentaria,8500.0
2017,Aragón,Huesca,Plataforma logística distribución,Plat. log. distribución droguería-perfumería,1000.0
2017,Aragón,Huesca,Plataforma logística distribución,Plat. log. distribución electro / tecnológica,2300.0
2017,Aragón,Huesca,Plataforma logística distribución,Plat. log. distribución sanitaria,0.0
2017,Aragón,Huesca,Plataforma logística distribución,Plat. log. distribución material construcción,0.0
2017,Aragón,Huesca,Plataforma logística distribución,Plat. log. distribución non food,0.0
2017,Aragón,Huesca,Plataforma logística distribución,Plat. log. distribución / varios,0.0
2017,Aragón,Huesca,Plataforma logística distribución,Plat. log. temp. controlada dis. alimentaria,1300.0
2017,Aragón,Huesca,Plataforma logística distribución,Plat. log. e-commerce,0.0
2017,Aragón,Huesca,Plataforma logística industria,Plat. log. industria alimentación y bebidas,2000.0
2017,Aragón,Huesca,Plataforma logística industria,Plat. log. industria electro / tecnológica,0.0
2017,Aragón,Huesca,Plataforma logística industria,Plat. log. industria sanitaria,0.0
2017,Aragón,Huesca,Plataforma logística industria,Plat. log. industria material construcción,0.0
2017,Aragón,Huesca,Plataforma logística industria,Plat. log. industria non food gran consumo,0.0
2017,Aragón,Huesca,Plataforma logística industria,Plat. log. industria / varios,0.0
2017,Aragón,Huesca,Plataforma logística industria,Plat. log. temp. controlada ind. alimentaria,2500.0
2017,Aragón,Huesca,Plataforma mixta,Plataforma mixta,0.0
2017,Aragón,Huesca,Instalaciones especializadas,Frigorífico de servicios,0.0
2017,Aragón,Huesca,Instalaciones especializadas,Almacén farmacéutico,0.0
2017,Aragón,Huesca,Instalaciones especializadas,Plat. log. mercancías peligrosas,0.0
2017,Aragón,Huesca,Instalaciones especializadas,Plataforma automóvil,0.0
2017,Aragón,Huesca,Instalaciones especializadas,Plat. log. textil,0.0
2017,Aragón,Teruel,Almacenes transporte,Almacén aduanas / fiscal,0.0
2017,Aragón,Teruel,Almacenes transporte,Almacén paquetería,2950.0
2017,Aragón,Teruel,Almacenes transporte,Almacén transportista,0.0
2017,Aragón,Teruel,Plataforma logística distribución,Plat. log. distribución base alimentaria,13500.0
2017,Aragón,Teruel,Plataforma logística distribución,Plat. log. distribución droguería-perfumería,0.0
2017,Aragón,Teruel,Plataforma logística distribución,Plat. log. distribución electro / tecnológica,0.0
2017,Aragón,Teruel,Plataforma logística distribución,Plat. log. distribución sanitaria,0.0
2017,Aragón,Teruel,Plataforma logística distribución,Plat. log. distribución material construcción,0.0
2017,Aragón,Teruel,Plataforma logística distribución,Plat. log. distribución non food,0.0
2017,Aragón,Teruel,Plataforma logística distribución,Plat. log. distribución / varios,15000.0
2017,Aragón,Teruel,Plataforma logística distribución,Plat. log. temp. controlada dis. alimentaria,0.0
2017,Aragón,Teruel,Plataforma logística distribución,Plat. log. e-commerce,0.0
2017,Aragón,Teruel,Plataforma logística industria,Plat. log. industria alimentación y bebidas,0.0
2017,Aragón,Teruel,Plataforma logística industria,Plat. log. industria electro / tecnológica,0.0
2017,Aragón,Teruel,Plataforma logística industria,Plat. log. industria sanitaria,0.0
2017,Aragón,Teruel,Plataforma logística industria,Plat. log. industria material construcción,1800.0
2017,Aragón,Teruel,Plataforma logística industria,Plat. log. industria non food gran consumo,0.0
2017,Aragón,Teruel,Plataforma logística industria,Plat. log. industria / varios,0.0
2017,Aragón,Teruel,Plataforma logística industria,Plat. log. temp. controlada ind. alimentaria,0.0
2017,Aragón,Teruel,Plataforma mixta,Plataforma mixta,0.0
2017,Aragón,Teruel,Instalaciones especializadas,Frigorífico de servicios,0.0
2017,Aragón,Teruel,Instalaciones especializadas,Almacén farmacéutico,0.0
2017,Aragón,Teruel,Instalaciones especializadas,Plat. log. mercancías peligrosas,0.0
2017,Aragón,Teruel,Instalaciones especializadas,Plataforma automóvil,0.0
2017,Aragón,Teruel,Instalaciones especializadas,Plat. log. textil,0.0
2017,Aragón,Zaragoza,Almacenes transporte,Almacén aduanas / fiscal,0.0
2017,Aragón,Zaragoza,Almacenes transporte,Almacén paquetería,126682.0
2017,Aragón,Zaragoza,Almacenes transporte,Almacén transportista,140300.0
2017,Aragón,Zaragoza,Plataforma logística distribución,Plat. log. distribución base alimentaria,131155.0
2017,Aragón,Zaragoza,Plataforma logística distribución,Plat. log. distribución droguería-perfumería,17176.0
2017,Aragón,Zaragoza,Plataforma logística distribución,Plat. log. distribución electro / tecnológica,46500.0
2017,Aragón,Zaragoza,Plataforma logística distribución,Plat. log. distribución sanitaria,0.0
2017,Aragón,Zaragoza,Plataforma logística distribución,Plat. log. distribución material construcción,13500.0
2017,Aragón,Zaragoza,Plataforma logística distribución,Plat. log. distribución non food,14500.0
2017,Aragón,Zaragoza,Plataforma logística distribución,Plat. log. distribución / varios,26500.0
2017,Aragón,Zaragoza,Plataforma logística distribución,Plat. log. temp. controlada dis. alimentaria,17396.0
2017,Aragón,Zaragoza,Plataforma logística distribución,Plat. log. e-commerce,0.0
2017,Aragón,Zaragoza,Plataforma logística industria,Plat. log. industria alimentación y bebidas,22500.0
2017,Aragón,Zaragoza,Plataforma logística industria,Plat. log. industria electro / tecnológica,68000.0
2017,Aragón,Zaragoza,Plataforma logística industria,Plat. log. industria sanitaria,0.0
2017,Aragón,Zaragoza,Plataforma logística industria,Plat. log. industria material construcción,3000.0
2017,Aragón,Zaragoza,Plataforma logística industria,Plat. log. industria non food gran consumo,0.0
2017,Aragón,Zaragoza,Plataforma logística industria,Plat. log. industria / varios,210828.0
2017,Aragón,Zaragoza,Plataforma logística industria,Plat. log. temp. controlada ind. alimentaria,28415.0
2017,Aragón,Zaragoza,Plataforma mixta,Plataforma mixta,0.0
2017,Aragón,Zaragoza,Instalaciones especializadas,Frigorífico de servicios,35700.0
2017,Aragón,Zaragoza,Instalaciones especializadas,Almacén farmacéutico,21100.0
2017,Aragón,Zaragoza,Instalaciones especializadas,Plat. log. mercancías peligrosas,0.0
2017,Aragón,Zaragoza,Instalaciones especializadas,Plataforma automóvil,0.0
2017,Aragón,Zaragoza,Instalaciones especializadas,Plat. log. textil,17900.0
2017,"Asturias, Principado de",Asturias,Almacenes transporte,Almacén aduanas / fiscal,0.0
2017,"Asturias, Principado de",Asturias,Almacenes transporte,Almacén paquetería,46556.0
2017,"Asturias, Principado de",Asturias,Almacenes transporte,Almacén transportista,56300.0
2017,"Asturias, Principado de",Asturias,Plataforma logística distribución,Plat. log. distribución base alimentaria,99441.0
2017,"Asturias, Principado de",Asturias,Plataforma logística distribución,Plat. log. distribución droguería-perfumería,9100.0
2017,"Asturias, Principado de",Asturias,Plataforma logística distribución,Plat. log. distribución electro / tecnológica,7100.0
2017,"Asturias, Principado de",Asturias,Plataforma logística distribución,Plat. log. distribución sanitaria,0.0
2017,"Asturias, Principado de",Asturias,Plataforma logística distribución,Plat. log. distribución material construcción,7000.0
2017,"Asturias, Principado de",Asturias,Plataforma logística distribución,Plat. log. distribución non food,0.0
2017,"Asturias, Principado de",Asturias,Plataforma logística distribución,Plat. log. distribución / varios,6700.0
2017,"Asturias, Principado de",Asturias,Plataforma logística distribución,Plat. log. temp. controlada dis. alimentaria,10000.0
2017,"Asturias, Principado de",Asturias,Plataforma logística distribución,Plat. log. e-commerce,0.0
2017,"Asturias, Principado de",Asturias,Plataforma logística industria,Plat. log. industria alimentación y bebidas,1900.0
2017,"Asturias, Principado de",Asturias,Plataforma logística industria,Plat. log. industria electro / tecnológica,0.0
2017,"Asturias, Principado de",Asturias,Plataforma logística industria,Plat. log. industria sanitaria,0.0
