año,comunidad_origen,comunidad_destino,valor
2018,Aragón,Aragón,45080.15
2018,Aragón,"Asturias, Principado de",119.49
2018,Aragón,Cantabria,213.26
2018,Aragón,Castilla - La Mancha,1544.2
2018,Aragón,Castilla y León,1589.01
2018,Aragón,Cataluña,7898.05
2018,Aragón,Comunitat Valenciana,5663.51
2018,Aragón,Extremadura,76.23
2018,Aragón,Galicia,385.92
2018,Aragón,"Madrid, Comunidad de",2094.75
2018,Aragón,"Murcia, Región de",352.16
2018,Aragón,"Navarra, Comunidad Foral de",1935.67
2018,Aragón,País Vasco,1750.7
2018,Aragón,"Rioja, La",829.15
2018,"Asturias, Principado de",Andalucía,257.33
2018,"Asturias, Principado de",Aragón,319.93
2018,"Asturias, Principado de","Asturias, Principado de",23206.0
2018,"Asturias, Principado de",Cantabria,1180.94
2018,"Asturias, Principado de",Castilla - La Mancha,145.11
2018,"Asturias, Principado de",Castilla y León,2145.85
2018,"Asturias, Principado de",Cataluña,467.32
2018,"Asturias, Principado de",Comunitat Valenciana,265.39
2018,"Asturias, Principado de",Extremadura,73.81
2018,"Asturias, Principado de",Galicia,1405.37
2018,"Asturias, Principado de","Madrid, Comunidad de",499.06
2018,"Asturias, Principado de","Murcia, Región de",82.44
2018,"Asturias, Principado de","Navarra, Comunidad Foral de",290.72
2018,"Asturias, Principado de",País Vasco,1209.11
2018,"Asturias, Principado de","Rioja, La",71.62
2018,Cantabria,Andalucía,180.72
2018,Cantabria,Aragón,238.23
2018,Cantabria,"Asturias, Principado de",536.04
2018,Cantabria,Cantabria,13676.31
2018,Cantabria,Castilla - La Mancha,155.82
2018,Cantabria,Castilla y León,1892.66
2018,Cantabria,Cataluña,640.17
2018,Cantabria,Comunitat Valenciana,334.26
2018,Cantabria,Extremadura,38.98
2018,Cantabria,Galicia,144.53
2018,Cantabria,"Madrid, Comunidad de",598.08
2018,Cantabria,"Murcia, Región de",36.98
2018,Cantabria,"Navarra, Comunidad Foral de",182.23
2018,Cantabria,País Vasco,3558.29
2018,Cantabria,"Rioja, La",25.17
2018,Castilla - La Mancha,Andalucía,5856.71
2018,Castilla - La Mancha,Aragón,938.18
2018,Castilla - La Mancha,"Asturias, Principado de",197.47
2018,Castilla - La Mancha,Cantabria,264.84
2018,Castilla - La Mancha,Castilla - La Mancha,51080.41
2018,Castilla - La Mancha,Castilla y León,2751.17
2018,Castilla - La Mancha,Cataluña,2296.88
2018,Castilla - La Mancha,Comunitat Valenciana,7658.3
2018,Castilla - La Mancha,Extremadura,1389.7
2018,Castilla - La Mancha,Galicia,715.56
2018,Castilla - La Mancha,"Madrid, Comunidad de",14463.47
2018,Castilla - La Mancha,"Murcia, Región de",2397.41
2018,Castilla - La Mancha,"Navarra, Comunidad Foral de",488.24
2018,Castilla - La Mancha,País Vasco,716.7
2018,Castilla - La Mancha,"Rioja, La",125.3
2018,Castilla y León,Andalucía,1818.03
2018,Castilla y León,Aragón,1725.69
2018,Castilla y León,"Asturias, Principado de",2299.94
2018,Castilla y León,Cantabria,2771.46
2018,Castilla y León,Castilla - La Mancha,2933.13
2018,Castilla y León,Castilla y León,75334.1
2018,Castilla y León,Cataluña,2267.34
2018,Castilla y León,Comunitat Valenciana,2109.25
2018,Castilla y León,Extremadura,1077.99
2018,Castilla y León,Galicia,3167.09
2018,Castilla y León,"Madrid, Comunidad de",5182.1
2018,Castilla y León,"Murcia, Región de",496.17
2018,Castilla y León,"Navarra, Comunidad Foral de",1526.43
2018,Castilla y León,País Vasco,4358.37
2018,Castilla y León,"Rioja, La",782.02
2018,Cataluña,Andalucía,2805.53
2018,Cataluña,Aragón,11038.72
2018,Cataluña,"Asturias, Principado de",398.75
2018,Cataluña,Cantabria,309.4
2018,Cataluña,Castilla - La Mancha,1849.38
2018,Cataluña,Castilla y León,1888.59
2018,Cataluña,Cataluña,189761.89
2018,Cataluña,Comunitat Valenciana,8542.93
2018,Cataluña,Extremadura,264.2
2018,Cataluña,Galicia,881.08
2018,Cataluña,"Madrid, Comunidad de",3482.64
2018,Cataluña,"Murcia, Región de",1069.51
2018,Cataluña,"Navarra, Comunidad Foral de",1216.76
2018,Cataluña,País Vasco,1805.05
2018,Cataluña,"Rioja, La",330.02
2018,Comunitat Valenciana,Andalucía,4459.8
2018,Comunitat Valenciana,Aragón,3454.63
2018,Comunitat Valenciana,"Asturias, Principado de",268.74
2018,Comunitat Valenciana,Cantabria,262.85
2018,Comunitat Valenciana,Castilla - La Mancha,7060.7
2018,Comunitat Valenciana,Castilla y León,1753.99
2018,Comunitat Valenciana,Cataluña,7072.64
2018,Comunitat Valenciana,Comunitat Valenciana,155527.71
2018,Comunitat Valenciana,Extremadura,516.69
2018,Comunitat Valenciana,Galicia,376.22
2018,Comunitat Valenciana,"Madrid, Comunidad de",5830.53
2018,Comunitat Valenciana,"Murcia, Región de",5979.92
2018,Comunitat Valenciana,"Navarra, Comunidad Foral de",517.09
2018,Comunitat Valenciana,País Vasco,1219.52
2018,Comunitat Valenciana,"Rioja, La",247.84
2018,Extremadura,Andalucía,2897.57
2018,Extremadura,Aragón,85.88
2018,Extremadura,"Asturias, Principado de",28.6
2018,Extremadura,Cantabria,26.25
2018,Extremadura,Castilla - La Mancha,1162.86
2018,Extremadura,Castilla y León,863.48
2018,Extremadura,Cataluña,245.19
2018,Extremadura,Comunitat Valenciana,643.23
2018,Extremadura,Extremadura,18554.22
2018,Extremadura,Galicia,126.36
